11-16-2019,python3 distribute_work.py -b sysbench -s -c 5 -n 10 -d 2,,,,,,
experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1573960552-0,i-0d6feb91baa545931,m5d.large,9.157414198,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.76ms,9.0154s,2
1573960552-0,i-0d6feb91baa545931,m5d.large,9.038783073,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.40ms,9.0174s,2
1573960552-0,i-0d6feb91baa545931,m5d.large,9.039020061,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.86ms,9.0164s,2
1573960552-0,i-0d6feb91baa545931,m5d.large,9.041732788,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.86ms,9.0184s,2
1573960552-0,i-0d6feb91baa545931,m5d.large,9.047082424,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.25ms,9.0220s,2
1573960552-0,i-0d6feb91baa545931,m5d.large,9.060294151,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.61ms,9.0385s,2
1573960552-0,i-0d6feb91baa545931,m5d.large,9.040256739,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.73ms,9.0170s,2
1573960552-0,i-0d6feb91baa545931,m5d.large,9.03761816,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.55ms,9.0142s,2
1573960552-0,i-0d6feb91baa545931,m5d.large,9.043960333,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.43ms,9.0202s,2
1573960552-0,i-0d6feb91baa545931,m5d.large,9.037151098,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.83ms,9.0153s,2
1573960552-1,i-0d6feb91baa545931,m5d.large,9.05137229,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.91ms,9.0153s,2
1573960552-1,i-0d6feb91baa545931,m5d.large,9.049554348,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.42ms,9.0177s,2
1573960552-1,i-0d6feb91baa545931,m5d.large,9.040603638,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.66ms,9.0158s,2
1573960552-1,i-0d6feb91baa545931,m5d.large,9.043668747,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.82ms,9.0160s,2
1573960552-1,i-0d6feb91baa545931,m5d.large,9.042775393,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.48ms,9.0195s,2
1573960552-1,i-0d6feb91baa545931,m5d.large,9.06597352,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.11ms,9.0399s,2
1573960552-1,i-0d6feb91baa545931,m5d.large,9.046416998,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.04ms,9.0161s,2
