11-16-2019,python3 distribute_work.py -b y_cruncherm5d -s -c 5 -n 10 -d,,,,,,,,,,,,,
instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-0ede59d8254436a40,1573967333-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:13:02 2019,7.19 GiB,Push,195.95 %,97.98 %,5.859,6.043,7.21927309
i-0ede59d8254436a40,1573967333-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:13:09 2019,7.18 GiB,Push,197.15 %,98.58 %,5.848,6.094,6.555652142
i-0ede59d8254436a40,1573967333-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:13:15 2019,7.19 GiB,Push,195.93 %,97.96 %,5.839,6.121,6.587106228
i-0ede59d8254436a40,1573967333-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:13:23 2019,7.19 GiB,Push,196.46 %,98.23 %,5.823,6.2,6.682090759
i-0ede59d8254436a40,1573967333-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:13:29 2019,7.19 GiB,Push,196.52 %,98.26 %,5.811,6.035,6.51407218
i-0ede59d8254436a40,1573967333-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:13:36 2019,7.19 GiB,Push,196.79 %,98.39 %,5.798,6.021,6.495546103
i-0ede59d8254436a40,1573967333-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:13:43 2019,7.19 GiB,Push,195.86 %,97.93 %,5.8,6.035,6.478991508
i-0ede59d8254436a40,1573967333-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:13:50 2019,7.19 GiB,Push,196.61 %,98.31 %,5.778,6.01,6.508871317
i-0ede59d8254436a40,1573967333-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:13:57 2019,7.19 GiB,Push,196.13 %,98.06 %,5.751,6.155,6.611509085
i-0ede59d8254436a40,1573967333-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:14:03 2019,7.19 GiB,Push,197.29 %,98.64 %,5.733,5.968,6.417350531
i-0ede59d8254436a40,1573967333-1,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:15:01 2019,7.19 GiB,Push,196.73 %,98.36 %,5.764,5.984,6.506621122
i-0ede59d8254436a40,1573967333-1,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:15:08 2019,7.19 GiB,Push,196.56 %,98.28 %,5.789,6.015,6.469187021
i-0ede59d8254436a40,1573967333-1,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:15:15 2019,7.19 GiB,Push,196.12 %,98.06 %,5.772,5.993,6.465508938
i-0ede59d8254436a40,1573967333-1,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:15:22 2019,7.19 GiB,Push,196.87 %,98.44 %,5.76,5.982,6.458343744
i-0ede59d8254436a40,1573967333-1,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:15:29 2019,7.19 GiB,Push,195.73 %,97.87 %,5.722,5.959,6.430724144
i-0ede59d8254436a40,1573967333-1,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:15:35 2019,7.19 GiB,Push,196.18 %,98.09 %,5.729,5.955,6.419672728
i-0ede59d8254436a40,1573967333-1,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:15:42 2019,7.19 GiB,Push,196.66 %,98.33 %,5.71,5.93,6.39257431
i-0ede59d8254436a40,1573967333-1,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:15:49 2019,7.19 GiB,Push,196.35 %,98.18 %,5.674,5.899,6.344995022
i-0ede59d8254436a40,1573967333-1,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Nov 17 05:15:55 2019,7.19 GiB,Push,196.42 %,98.21 %,5.656,5.894,6.344079018
