,iperf,sysbench,ycruncher,pgbench,setId,vmId
0,9640.0,7.179229736,4.402891159,179240,1,1
1,9940.0,7.173128605,4.458204746,178584,1,1
2,9020.0,7.175980568,4.436651468,179612,1,1
3,9760.0,7.187607765,4.508559704,179345,2,1
4,9940.0,7.177870512,4.48295927,179119,2,1
5,9940.0,7.172366142,4.512420177,178835,2,1
6,9670.0,7.18426609,4.491287947,180139,2,2
7,9920.0,7.173749924,4.50188446,182329,2,2
8,9560.0,7.182837009,4.516233206,184283,2,2
9,7560.0,7.571827173,4.49740386,170366,3,1
10,9940.0,7.571065187,4.626461506,170810,3,1
11,9750.0,7.563989401000001,4.515329838,170753,3,1
12,9940.0,7.56785512,4.508360624,171584,3,2
13,9760.0,7.565365314,4.471916199,171590,3,2
14,9940.0,7.568791628,4.467274666000001,171879,3,2
15,9940.0,7.582254887,4.372757435,174720,3,3
16,9930.0,7.565818547999999,4.386052608,174606,3,3
17,9910.0,7.562497377000001,4.3765776160000005,174430,3,3
18,9940.0,7.569170952,4.731976271000001,170907,4,1
19,9800.0,7.571593046,4.709545135,170825,4,1
20,9940.0,7.566310406,4.702976704,171397,4,1
21,9940.0,7.568086623999999,4.7224347589999995,171017,4,2
22,9840.0,7.568229675,4.711389065,171557,4,2
23,9590.0,7.5706698889999995,4.855629206000001,171189,4,2
24,9940.0,7.578480959,4.373110771,174725,4,3
25,9860.0,7.56444788,4.376634598,174887,4,3
26,9940.0,7.565854549,4.373069525,174687,4,3
27,9940.0,7.566496849,4.699435472,182249,4,4
28,9810.0,7.5651831629999995,4.712885857,182083,4,4
29,7540.0,7.5778343679999995,4.694242238999999,181904,4,4
30,9690.0,7.7867643829999995,4.726468325,171019,5,1
31,5705.0,7.781209468999999,4.99775219,170855,5,1
32,5687.0,7.7785758970000005,4.722289085,170504,5,1
33,7410.0,7.780590772999999,4.716115952,173025,5,2
34,9930.0,7.783549547000001,4.693634033,172990,5,2
35,9730.0,7.77828908,4.711889029,173231,5,2
36,7580.0,7.789438248,4.436052084,174938,5,3
37,8000.0,7.774744511000001,4.439182043,174920,5,3
38,9780.0,7.7761390210000005,4.46530652,174700,5,3
39,8680.0,7.779414415,4.707220078,181590,5,4
40,9370.0,7.776983976,4.700452566,181424,5,4
41,9630.0,7.776783227999999,4.676645756,181627,5,4
42,9600.0,7.781475782,4.442934513,181565,5,5
43,9600.0,7.778501272000001,4.46807909,182473,5,5
44,9910.0,7.779154538999999,4.4603161810000005,182183,5,5
45,1486.0,7.787042379,4.782114743999999,170507,6,1
46,1547.0,7.777822971,4.763955116,170403,6,1
47,1813.0,7.775463104,4.778538704,170418,6,1
48,6930.0,7.780905485,4.726881027,172123,6,2
49,5775.0,7.786357641,4.73596406,172163,6,2
50,6110.0,7.777495146000001,4.8830657010000005,172128,6,2
51,7530.0,7.789822817,4.4353604319999995,174828,6,3
52,9630.0,7.775232077,4.420976877,174638,6,3
53,8750.0,7.775272131,4.454733372,174119,6,3
54,7150.0,8.241131783,4.750952721,180898,6,4
55,9490.0,7.781974316,4.736475468,181831,6,4
56,8780.0,7.777528048,4.75330615,181373,6,4
57,7390.0,7.777279854,4.45808816,182313,6,5
58,9580.0,7.776204109,4.456329107,182213,6,5
59,9640.0,7.777337074,4.447346926,181879,6,5
60,7410.0,7.782205342999999,4.7132153510000006,175153,6,6
61,9480.0,7.778749466,4.71385932,175027,6,6
62,8810.0,7.779855013,4.713543177,175243,6,6
63,1489.0,7.781449556,5.032711267,170359,7,1
64,1488.0,7.778389692,4.77657938,170592,7,1
65,1823.0,7.776751517999999,4.80948329,170728,7,1
66,1123.0,7.778664112,4.741031885,171076,7,2
67,3312.0,7.78233552,4.755584478,171687,7,2
68,1584.0,7.7779197689999995,4.762919188,171608,7,2
69,6880.0,7.783221482999999,4.665506124,174215,7,3
70,6990.0,7.772886276,4.646279097,174046,7,3
71,7960.0,7.774948359,4.661329031,173997,7,3
72,9360.0,7.775244712999999,4.751362562,172945,7,4
73,9440.0,7.786661863,4.802621603,173513,7,4
74,7690.0,7.775250196,4.726616621,173479,7,4
75,9200.0,7.7779786589999995,4.688602924,173676,7,5
76,9610.0,7.781792879,4.706578016,173323,7,5
77,9060.0,7.7792985439999995,4.695783138,174059,7,5
78,9480.0,7.78484869,4.695818901,174801,7,6
79,6990.0,7.777488947,4.843730927,174861,7,6
80,8070.0,7.7774508,4.72873807,175175,7,6
81,9100.0,7.77678895,4.740427256,173581,7,7
82,7000.0,7.774086952,4.742764711,173901,7,7
83,9860.0,7.777094364,4.747910500000001,174148,7,7
84,1833.0,7.778730392000001,4.775790691,170301,8,1
85,1813.0,7.775450706,4.781126976,170005,8,1
86,1853.0,7.776403666,4.71828413,170723,8,1
87,1122.0,7.780487537000001,4.737793446,171233,8,2
88,1123.0,7.777505875,4.763613224,171560,8,2
89,2543.0,7.776580095,4.759414434,171918,8,2
90,1486.0,7.788084984,4.736708403,174362,8,3
91,5628.0,7.775687218,4.693991184,174563,8,3
92,3092.0,7.773760557,4.712455273,175134,8,3
93,6510.0,7.775065184,4.7459921839999994,172979,8,4
94,6430.0,7.776694775,4.723775387,172671,8,4
95,7880.0,7.786880255,4.71932888,172939,8,4
96,6370.0,7.788790226000001,4.753343344,172278,8,5
97,7380.0,7.775173903,4.713408232,172796,8,5
98,8280.0,7.7774837020000005,4.7443201539999995,173020,8,5
99,9020.0,7.780454636,4.708293915,174965,8,6
100,6370.0,7.779411316,4.7116677760000005,175031,8,6
101,6540.0,7.77860117,4.7107274530000005,175123,8,6
102,9540.0,7.77635026,4.76832962,173111,8,7
103,9750.0,7.7787942889999995,4.785078287,173824,8,7
104,9550.0,7.774811506,4.774513721,174189,8,7
105,7430.0,7.77906847,4.755840063,170089,8,8
106,7520.0,7.778786898,4.764303446,170348,8,8
107,7820.0,7.780960798,4.744807482,170891,8,8
108,1126.0,7.782018185,4.887200593999999,170225,9,1
109,1189.0,7.780288219,4.889108418999999,170766,9,1
110,1490.0,7.775862932000001,4.898936272,170914,9,1
111,1117.0,7.777603626,4.886769056,170991,9,2
112,1488.0,7.778282404,4.8824596410000005,171430,9,2
113,1121.0,7.780728102,4.869342089,171595,9,2
114,4890.0,7.790631294,4.728718519,174555,9,3
115,1481.0,7.775092125,4.689166784,174531,9,3
116,1462.0,7.775135756,4.727366686,174258,9,3
117,1430.0,7.787281036,4.8474869730000005,169015,9,4
118,5578.0,7.7760031220000005,4.8584713939999995,169039,9,4
119,1464.0,7.781836987,4.846111298,168805,9,4
120,7790.0,7.7808926110000005,4.7323873039999995,167958,9,5
121,6870.0,7.78085494,4.737835884,167795,9,5
122,8630.0,7.78099966,4.7345895769999995,168011,9,5
123,8890.0,7.7827877999999995,5.004437447,175223,9,6
124,5370.0,7.784240723,4.841394424,175070,9,6
125,9310.0,7.783989429,4.876082659,174817,9,6
126,6070.0,7.7779469489999995,4.787400484,168458,9,7
127,9010.0,7.776973247999999,4.775036812,169366,9,7
128,6530.0,7.780263662,4.745180368,169756,9,7
129,8120.0,7.783915757999999,4.777233839,166296,9,8
130,5210.0,7.779690266,4.847984076,165354,9,8
131,8690.0,7.779726505,4.760586977,165913,9,8
132,7210.0,7.175895452000001,4.848005295,165387,9,9
133,6880.0,7.172788142999999,4.829991817,165249,9,9
134,8420.0,7.174608231000001,4.8503441810000005,165371,9,9
135,1490.0,7.779849529,4.90985465,170548,10,1
136,1487.0,7.781635284,4.924459696,170809,10,1
137,1853.0,7.779715776000001,4.993292809,170802,10,1
138,1486.0,7.779728174,4.900256872,171780,10,2
139,1122.0,7.7810285089999995,4.903268099,171265,10,2
140,1128.0,7.782968997999999,4.893767118,171173,10,2
141,2823.0,7.791146277999999,4.69700098,174969,10,3
142,1481.0,7.778424263,4.699622869,174805,10,3
143,1483.0,7.779784918,4.6972470280000005,174683,10,3
144,1479.0,7.7768456939999995,4.878328562,168607,10,4
145,4450.0,7.777181864,4.89283514,168198,10,4
146,2743.0,7.782058716,4.887358427,168530,10,4
147,5300.0,7.781639338,4.73474741,167831,10,5
148,1487.0,7.778208017000001,4.734182835,167891,10,5
149,2653.0,7.783052921,4.725229979,168015,10,5
150,5490.0,7.782316923,4.85261631,175408,10,6
151,9180.0,7.7759068010000005,4.874651194,175248,10,6
152,7790.0,7.78036356,4.86591506,175026,10,6
153,9650.0,7.776082992999999,4.7816958430000005,169317,10,7
154,7410.0,7.776931047000001,4.773551464,168836,10,7
155,9120.0,7.7798287870000005,4.815331221,169230,10,7
156,5240.0,7.7821941379999995,4.747061491,165862,10,8
157,5600.0,7.783551931,4.736920357,165645,10,8
158,6530.0,7.785279036,4.751632452,165537,10,8
159,4710.0,7.178976536,4.89724493,165028,10,9
160,5690.0,7.177971362999999,4.865404606,164959,10,9
161,6680.0,7.176954508,4.8852386469999995,165455,10,9
162,8200.0,7.170595407,5.010317087,166302,10,10
163,9490.0,7.171888113,4.885797501,166469,10,10
164,7380.0,7.170403957,4.870470524,166734,10,10
165,1122.0,7.787304878,4.938528299,166387,11,1
166,1490.0,7.775908708999999,4.9049885269999995,166113,11,1
167,1487.0,7.7753877639999995,4.927058697,165855,11,1
168,2183.0,7.77967906,4.938906431,167003,11,2
169,1490.0,7.7765862939999995,4.913101673,166989,11,2
170,1127.0,7.777857065,4.893283606000001,166954,11,2
171,2434.0,7.788927794,4.831362486000001,170570,11,3
172,1487.0,7.782881737,4.821537733,169958,11,3
173,1527.0,7.77586627,4.8435263630000005,170266,11,3
174,1460.0,7.780721664,4.891468048,168236,11,4
175,1457.0,7.7845530510000005,5.041453838,168271,11,4
176,1494.0,7.777558804,5.016895293999999,167992,11,4
177,1478.0,7.780891895,4.860637188,168514,11,5
178,5289.0,7.779642582,4.856364965,168396,11,5
179,1463.0,7.776737927999999,5.294443846,167841,11,5
180,6580.0,7.777913332000001,4.893683672,171254,11,6
181,4160.0,7.78010726,4.8683381080000006,170768,11,6
182,7610.0,7.776383877000001,4.885584831,170727,11,6
183,9570.0,7.777372837000001,4.912780046,168621,11,7
184,9340.0,7.779878616,4.926945686,168541,11,7
185,3840.0,7.779254675,4.883875847,168715,11,7
186,4510.0,7.784165859,4.88389802,165240,11,8
187,5890.0,7.778356075,4.8843278880000005,165394,11,8
188,8700.0,7.779966354,5.046503305,165130,11,8
189,7540.0,7.565199375,4.867847919,165153,11,9
190,5510.0,7.566542625,4.885825872,165038,11,9
191,8850.0,7.569858551,4.864356756,164790,11,9
