experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1574731535-0,i-044a8f7400df53c8f,c3.large,9.426959991,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.47ms,9.3760s,2
1574731535-0,i-044a8f7400df53c8f,c3.large,9.410168648,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.40ms,9.3849s,2
1574731535-0,i-044a8f7400df53c8f,c3.large,9.400389194,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.99ms,9.3739s,2
1574731535-0,i-0e222be5be2d9a910,c3.large,9.52921176,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.23ms,9.3784s,2
1574731535-0,i-0e222be5be2d9a910,c3.large,9.415927649,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.70ms,9.3811s,2
1574731535-0,i-0e222be5be2d9a910,c3.large,9.416522264,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.38ms,9.3859s,2
1574731535-1,i-0e222be5be2d9a910,c3.large,9.402273893,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.02ms,9.3758s,2
1574731535-1,i-0e222be5be2d9a910,c3.large,9.410942078,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.48ms,9.3782s,2
1574731535-1,i-0e222be5be2d9a910,c3.large,9.409818888,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.92ms,9.3715s,2
1574731535-2,i-0e222be5be2d9a910,c3.large,9.404819489,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.59ms,9.3771s,2
1574731535-2,i-0e222be5be2d9a910,c3.large,9.411281347,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.70ms,9.3842s,2
1574731535-2,i-0e222be5be2d9a910,c3.large,9.408037663,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.10ms,9.3797s,2
1574731535-3,i-0e222be5be2d9a910,c3.large,9.409045696,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.98ms,9.3733s,2
1574731535-3,i-0e222be5be2d9a910,c3.large,9.410960913,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.51ms,9.3794s,2
1574731535-3,i-0e222be5be2d9a910,c3.large,9.40567565,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.78ms,9.3741s,2
1574731535-0,i-082492184c5628591,c3.large,9.418038368,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.95ms,9.3713s,2
1574731535-0,i-082492184c5628591,c3.large,9.402513981,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.82ms,9.3730s,2
1574731535-0,i-082492184c5628591,c3.large,9.409125805,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.59ms,9.3799s,2
1574731535-1,i-082492184c5628591,c3.large,9.399811029,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.18ms,9.3711s,2
1574731535-1,i-082492184c5628591,c3.large,9.403082371,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.57ms,9.3736s,2
1574731535-1,i-082492184c5628591,c3.large,9.410938501,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.46ms,9.3796s,2
1574731535-2,i-082492184c5628591,c3.large,9.400508404,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.89ms,9.3748s,2
1574731535-2,i-082492184c5628591,c3.large,9.405082941,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.10ms,9.3721s,2
1574731535-2,i-082492184c5628591,c3.large,9.408963203,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.63ms,9.3810s,2
1574731535-0,i-060035788697ff7eb,c3.large,9.549648046,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.41ms,9.3890s,2
1574731535-0,i-060035788697ff7eb,c3.large,9.415235519,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.49ms,9.3733s,2
1574731535-0,i-060035788697ff7eb,c3.large,9.408308983,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.91ms,9.3708s,2
1574731535-1,i-060035788697ff7eb,c3.large,9.405321836,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.09ms,9.3780s,2
1574731535-1,i-060035788697ff7eb,c3.large,9.423455477,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.46ms,9.3876s,2
1574731535-1,i-060035788697ff7eb,c3.large,9.408754349,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.37ms,9.3765s,2
1574731535-2,i-060035788697ff7eb,c3.large,9.415418386,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.20ms,9.3846s,2
1574731535-2,i-060035788697ff7eb,c3.large,9.40166688,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.78ms,9.3730s,2
1574731535-2,i-060035788697ff7eb,c3.large,9.398614168,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.79ms,9.3727s,2
1574731535-3,i-060035788697ff7eb,c3.large,9.435384274,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.18ms,9.3794s,2
1574731535-3,i-060035788697ff7eb,c3.large,9.411591291,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.98ms,9.3789s,2
1574731535-3,i-060035788697ff7eb,c3.large,9.407302618,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.66ms,9.3757s,2
1574731535-4,i-060035788697ff7eb,c3.large,9.41475153,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.61ms,9.3873s,2
1574731535-4,i-060035788697ff7eb,c3.large,9.404946327,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.60ms,9.3742s,2
1574731535-4,i-060035788697ff7eb,c3.large,9.40809989,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.73ms,9.3716s,2
1574731535-5,i-060035788697ff7eb,c3.large,9.401111126,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.91ms,9.3747s,2
1574731535-5,i-060035788697ff7eb,c3.large,9.414669752,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.85ms,9.3745s,2
1574731535-5,i-060035788697ff7eb,c3.large,9.423765421,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.49ms,9.3728s,2
1574731535-6,i-060035788697ff7eb,c3.large,9.410194397,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.42ms,9.3839s,2
1574731535-6,i-060035788697ff7eb,c3.large,9.40160799,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.18ms,9.3748s,2
1574731535-6,i-060035788697ff7eb,c3.large,9.402909756,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.77ms,9.3743s,2
1574731535-7,i-060035788697ff7eb,c3.large,9.399711132,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.95ms,9.3721s,2
1574731535-7,i-060035788697ff7eb,c3.large,9.39852953,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.04ms,9.3726s,2
1574731535-7,i-060035788697ff7eb,c3.large,9.400119305,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.95ms,9.3741s,2
1574731535-8,i-060035788697ff7eb,c3.large,9.411206484,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.88ms,9.3821s,2
1574731535-8,i-060035788697ff7eb,c3.large,9.418439865,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.23ms,9.3914s,2
1574731535-8,i-060035788697ff7eb,c3.large,9.397485495,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.49ms,9.3700s,2
1574731535-9,i-060035788697ff7eb,c3.large,9.412936449,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.45ms,9.3751s,2
1574731535-9,i-060035788697ff7eb,c3.large,9.405186892,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.60ms,9.3721s,2
1574731535-9,i-060035788697ff7eb,c3.large,9.401629448,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.34ms,9.3730s,2
1574731535-10,i-060035788697ff7eb,c3.large,9.423070431,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.58ms,9.3930s,2
1574731535-10,i-060035788697ff7eb,c3.large,9.403757334,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.49ms,9.3767s,2
1574731535-10,i-060035788697ff7eb,c3.large,9.401162863,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.66ms,9.3708s,2
1574731535-11,i-060035788697ff7eb,c3.large,9.433843136,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.41ms,9.3797s,2
1574731535-11,i-060035788697ff7eb,c3.large,9.396784782,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.52ms,9.3705s,2
1574731535-11,i-060035788697ff7eb,c3.large,9.402385235,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.11ms,9.3715s,2
1574731535-12,i-060035788697ff7eb,c3.large,9.420743465,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.26ms,9.3880s,2
1574731535-12,i-060035788697ff7eb,c3.large,9.398201466,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.46ms,9.3729s,2
1574731535-12,i-060035788697ff7eb,c3.large,9.400826693,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.64ms,9.3718s,2
1574731535-13,i-060035788697ff7eb,c3.large,9.402872562,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.58ms,9.3712s,2
1574731535-13,i-060035788697ff7eb,c3.large,9.398545027,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.45ms,9.3721s,2
1574731535-13,i-060035788697ff7eb,c3.large,9.395040989,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.69ms,9.3690s,2
1574731535-14,i-060035788697ff7eb,c3.large,9.424812555,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.02ms,9.3759s,2
1574731535-14,i-060035788697ff7eb,c3.large,9.397738934,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.17ms,9.3686s,2
1574731535-14,i-060035788697ff7eb,c3.large,9.398812771,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.97ms,9.3732s,2
1574731535-0,i-07f2a8f7a02f1f390,c3.large,9.447368145,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.61ms,9.3827s,2
1574731535-0,i-07f2a8f7a02f1f390,c3.large,9.420618296,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.28ms,9.3775s,2
1574731535-0,i-07f2a8f7a02f1f390,c3.large,9.413752317,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.79ms,9.3750s,2
1574731535-1,i-07f2a8f7a02f1f390,c3.large,9.397330761,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.82ms,9.3714s,2
1574731535-1,i-07f2a8f7a02f1f390,c3.large,9.417013168,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.41ms,9.3832s,2
1574731535-1,i-07f2a8f7a02f1f390,c3.large,9.422224045,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.42ms,9.3878s,2
1574731535-2,i-07f2a8f7a02f1f390,c3.large,9.403758764,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.85ms,9.3746s,2
1574731535-2,i-07f2a8f7a02f1f390,c3.large,9.410349369,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.47ms,9.3799s,2
1574731535-2,i-07f2a8f7a02f1f390,c3.large,9.398515463,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.24ms,9.3728s,2
1574731535-3,i-07f2a8f7a02f1f390,c3.large,9.403496981,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.60ms,9.3763s,2
1574731535-3,i-07f2a8f7a02f1f390,c3.large,9.414593697,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.98ms,9.3855s,2
1574731535-3,i-07f2a8f7a02f1f390,c3.large,9.416688681,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.24ms,9.3873s,2
1574731535-4,i-07f2a8f7a02f1f390,c3.large,9.399521112,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.04ms,9.3738s,2
1574731535-4,i-07f2a8f7a02f1f390,c3.large,9.411379576,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.24ms,9.3847s,2
1574731535-4,i-07f2a8f7a02f1f390,c3.large,9.403232813,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.69ms,9.3746s,2
1574731535-5,i-07f2a8f7a02f1f390,c3.large,9.407574654,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.11ms,9.3736s,2
1574731535-5,i-07f2a8f7a02f1f390,c3.large,9.412146091,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.90ms,9.3815s,2
1574731535-5,i-07f2a8f7a02f1f390,c3.large,9.42035532,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.12ms,9.3888s,2
1574731535-6,i-07f2a8f7a02f1f390,c3.large,9.420492887,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.11ms,9.3718s,2
1574731535-6,i-07f2a8f7a02f1f390,c3.large,9.414422274,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.22ms,9.3820s,2
1574731535-6,i-07f2a8f7a02f1f390,c3.large,9.408833742,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.21ms,9.3729s,2
1574731535-7,i-07f2a8f7a02f1f390,c3.large,9.399098396,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.33ms,9.3725s,2
1574731535-7,i-07f2a8f7a02f1f390,c3.large,9.411387444,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.71ms,9.3803s,2
1574731535-7,i-07f2a8f7a02f1f390,c3.large,9.412091732,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.27ms,9.3853s,2
1574731535-8,i-07f2a8f7a02f1f390,c3.large,9.398008823,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.77ms,9.3719s,2
1574731535-8,i-07f2a8f7a02f1f390,c3.large,9.408660173,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.33ms,9.3780s,2
1574731535-8,i-07f2a8f7a02f1f390,c3.large,9.408012152,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.55ms,9.3715s,2
1574731535-0,i-0e7664a133eb9df28,c3.large,9.463447094,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.25ms,9.3813s,2
1574731535-0,i-0e7664a133eb9df28,c3.large,9.424957752,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1878.36ms,9.3983s,2
1574731535-0,i-0e7664a133eb9df28,c3.large,9.41028738,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.89ms,9.3822s,2
1574731535-1,i-0e7664a133eb9df28,c3.large,9.415568829,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.46ms,9.3804s,2
1574731535-1,i-0e7664a133eb9df28,c3.large,9.418450594,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1877.06ms,9.3898s,2
1574731535-1,i-0e7664a133eb9df28,c3.large,9.422387838,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.23ms,9.3861s,2
1574731535-2,i-0e7664a133eb9df28,c3.large,9.412522078,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.83ms,9.3855s,2
1574731535-2,i-0e7664a133eb9df28,c3.large,9.430537224,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1878.52ms,9.3966s,2
1574731535-2,i-0e7664a133eb9df28,c3.large,9.412551641,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.01ms,9.3804s,2
