instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-0e7664a133eb9df28,1574729527-0,c3.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/11-SNB ~ Hina),Tue Nov 26 00:57:02 2019,3.42 GiB,Push,197.26 %,98.63 %,14.782,15.06,15.9617672
i-0e7664a133eb9df28,1574729527-0,c3.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/11-SNB ~ Hina),Tue Nov 26 00:57:18 2019,3.41 GiB,Push,197.62 %,98.81 %,14.761,15.046,15.6053195
i-0e7664a133eb9df28,1574729527-0,c3.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/11-SNB ~ Hina),Tue Nov 26 00:57:34 2019,3.42 GiB,Push,197.39 %,98.69 %,14.788,15.082,15.65538478
i-0e7664a133eb9df28,1574729527-1,c3.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/11-SNB ~ Hina),Tue Nov 26 00:58:01 2019,3.42 GiB,Push,197.57 %,98.78 %,14.785,15.06,15.60307169
i-0e7664a133eb9df28,1574729527-1,c3.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/11-SNB ~ Hina),Tue Nov 26 00:58:17 2019,3.42 GiB,Push,197.50 %,98.75 %,14.78,15.053,15.65761566
i-0e7664a133eb9df28,1574729527-1,c3.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/11-SNB ~ Hina),Tue Nov 26 00:58:33 2019,3.42 GiB,Push,197.25 %,98.62 %,14.763,15.04,15.61059141
i-0e7664a133eb9df28,1574729527-2,c3.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/11-SNB ~ Hina),Tue Nov 26 00:59:01 2019,3.42 GiB,Push,197.54 %,98.77 %,14.797,15.068,15.60840487
i-0e7664a133eb9df28,1574729527-2,c3.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/11-SNB ~ Hina),Tue Nov 26 00:59:17 2019,3.42 GiB,Push,197.54 %,98.77 %,14.772,15.046,15.61200619
i-0e7664a133eb9df28,1574729527-2,c3.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/11-SNB ~ Hina),Tue Nov 26 00:59:33 2019,3.42 GiB,Push,197.45 %,98.73 %,14.783,15.056,15.62557983
i-0e7664a133eb9df28,1574729527-3,c3.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/11-SNB ~ Hina),Tue Nov 26 01:00:01 2019,3.42 GiB,Push,197.40 %,98.70 %,14.828,15.098,15.65096521
