experimentID,setId,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1574805970-0,0,i-08dc3567954ef1f78,c4.large,30.3719542,--num-threads=2 --test=memory --memory-block-size=1875M --memory-total-size=100G run,1056.70ms,29.2595s,2
1574805970-0,0,i-08dc3567954ef1f78,c4.large,31.13791156,--num-threads=2 --test=memory --memory-block-size=1875M --memory-total-size=100G run,1081.08ms,29.9024s,2
1574805970-0,0,i-0428f37fe443a7300,c4.large,36.88242531,--num-threads=2 --test=memory --memory-block-size=1875M --memory-total-size=100G run,1287.23ms,35.6990s,2
1574805970-0,0,i-0428f37fe443a7300,c4.large,36.47796679,--num-threads=2 --test=memory --memory-block-size=1875M --memory-total-size=100G run,1275.88ms,35.2930s,2
1574805970-0,0,i-01cc5c3fb74edb9f4,c4.large,30.27636838,--num-threads=2 --test=memory --memory-block-size=1875M --memory-total-size=100G run,1048.67ms,29.0292s,2
1574805970-0,0,i-01cc5c3fb74edb9f4,c4.large,30.981848,--num-threads=2 --test=memory --memory-block-size=1875M --memory-total-size=100G run,1073.50ms,29.6577s,2
1574805970-0,0,i-0d412663e0824aaf1,c4.large,26.2455864,--num-threads=2 --test=memory --memory-block-size=1875M --memory-total-size=100G run,892.64ms,24.9245s,2
1574805970-0,0,i-0d412663e0824aaf1,c4.large,30.65111542,--num-threads=2 --test=memory --memory-block-size=1875M --memory-total-size=100G run,1043.20ms,29.0261s,2
1574805970-0,0,i-071e64820990d2cac,c4.large,36.74362206,--num-threads=2 --test=memory --memory-block-size=1875M --memory-total-size=100G run,1283.93ms,35.4414s,2
1574805970-0,0,i-071e64820990d2cac,c4.large,36.48611736,--num-threads=2 --test=memory --memory-block-size=1875M --memory-total-size=100G run,1276.56ms,35.2325s,2
1574805970-0,0,i-0bdf65231887cd77c,c4.large,36.83054543,--num-threads=2 --test=memory --memory-block-size=1875M --memory-total-size=100G run,1289.00ms,35.6501s,2
