experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1574735736-0,i-064b0fa8a24d58da4,c4.large,8.509428978,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1692.28ms,8.4639s,2
1574735736-0,i-064b0fa8a24d58da4,c4.large,8.480550766,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.37ms,8.4513s,2
1574735736-0,i-064b0fa8a24d58da4,c4.large,8.478616238,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.07ms,8.4541s,2
1574735736-1,i-064b0fa8a24d58da4,c4.large,8.48509717,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.73ms,8.4589s,2
1574735736-1,i-064b0fa8a24d58da4,c4.large,8.480306387,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.10ms,8.4515s,2
1574735736-1,i-064b0fa8a24d58da4,c4.large,8.477545977,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.50ms,8.4507s,2
1574735736-2,i-064b0fa8a24d58da4,c4.large,8.492516041,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1691.74ms,8.4637s,2
1574735736-2,i-064b0fa8a24d58da4,c4.large,8.473588228,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.04ms,8.4470s,2
1574735736-2,i-064b0fa8a24d58da4,c4.large,8.483738661,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.28ms,8.4555s,2
1574735736-3,i-064b0fa8a24d58da4,c4.large,8.485230684,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.22ms,8.4570s,2
1574735736-3,i-064b0fa8a24d58da4,c4.large,8.478188038,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.97ms,8.4523s,2
1574735736-3,i-064b0fa8a24d58da4,c4.large,8.480303764,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.80ms,8.4535s,2
