,,,sysbench,,,y-cruncher,,,pgbench,,,iperf,,,,,,
instanceID,setId,tenants,sysbench_wall_time,sysbench_std,sysbench_cv,ycruncher_wall_time,ycruncher_std,ycruncher_cv,pgbench_transactions,pgbench_std,pgbench_cv,bandwidthUpload,bandwitdhDownload,iperf_total,stdUp,stdDown,stdTotal,iperf_cv
i-0009b7735dea24732,0,48,9.046351724,0.006011435953,0.0006645149488,6.526651727,0.06448443554,0.009880171065,123377,269.8388408,0.002187108138,612.8,566.3,1179.1,253.2915755,160.9113282,341.7102249,0.2898059748
i-002f7e27ea3e0bc1c,0,48,9.043485377,0.005964335108,0.0006595173055,6.532570812,0.0443656969,0.00679146054,123286,553.8989077,0.004492796487,518.3,556.9,1075.2,188.3171379,184.6500895,273.6395845,0.2545011017
i-007e12c9530b8cdea,0,48,9.52516418,0.693472415,0.07280424798,6.523446348,0.06427175816,0.009852423816,122657.6667,572.73234,0.00466935623,371.3,486.5,857.8,143.4310132,136.416234,236.250244,0.2754141338
i-008e6f72c7403b5d3,0,48,9.041284137,0.004990656848,0.0005519854007,6.487584458,0.06537504281,0.0100769467,123779.6667,193.7171478,0.001565015911,594.9,482.1,1077,178.8353992,75.42685935,231.1762195,0.2146483003
i-00ba7a56c944e5a25,0,48,9.04279942,0.005881234725,0.0006503776598,6.568983396,0.08764202094,0.01334179365,123144,246.0325182,0.001997925341,859.6,762.3,1621.9,369.1766214,400.8851456,720.3239163,0.4441235072
i-00d71d40b42658392,0,48,9.04251692,0.006557257597,0.0007251584547,6.522931019,0.06773556825,0.01038422268,123051,634.3571549,0.005155237706,513.2,504.8,1018,269.3926502,100.128584,357.5499965,0.3512278944
i-01f539b055c2a5d34,0,48,9.044384188,0.003762286198,0.0004159803608,6.541478978,0.06962836116,0.0106441313,122862.6667,83.2005609,0.0006771834207,500.3,520.4,1020.7,170.2782364,93.03667138,219.5414666,0.2150891218
i-0243a74ede206f760,0,48,9.041509152,0.004389320681,0.0004854632791,6.547124889,0.06585122652,0.01005803733,123389,439.2186244,0.003559625448,528.2,534.9,1063.1,185.0452197,94.93676258,256.7966987,0.2415546032
i-02765ba82e12781a4,0,48,9.04849977,0.007403399576,0.0008181908343,6.522552411,0.03217515601,0.004932908773,123798.3333,686.0060738,0.005541319139,1265.6,853.2,2118.8,911.694052,587.8591668,1489.24961,0.7028740842
i-02ca0e36a4acaf9fc,0,48,9.044084072,0.008855511021,0.000979149569,6.592776034,0.1332285277,0.02020825932,121889.6667,449.6235462,0.003688774927,466.2,496.7,962.9,195.1818525,183.9903681,324.2079065,0.3366994564
i-040dfb2d2a1990b9d,0,48,9.044251813,0.006549464586,0.0007241576995,6.56314773,0.08471751642,0.01290806179,123572.6667,383.0800613,0.0031000388,844.6,784.6,1629.2,586.9529983,369.4831826,922.8214947,0.5664261568
i-048c3c6548c1a414a,0,48,9.047797124,0.008361198628,0.0009241142914,6.448157416,0.05320286253,0.008250862857,122087.6667,373.9175488,0.003062697151,686.7,604.1,1290.8,251.8531539,197.044524,395.6572029,0.3065209195
i-0507566c757134fb6,0,48,9.042800373,0.006914018235,0.0007645881751,6.503663487,0.04209460244,0.006472444727,123698.6667,1002.646664,0.008105557572,569.6,596.5,1166.1,188.4121959,132.0229357,259.4907192,0.2225287018
i-05e473f8ff82c1527,0,48,9.043650998,0.006370106061,0.0007043732739,6.505759372,0.03670699252,0.00564223028,122617.3333,765.8592125,0.006245929443,1097.3,817.4,1914.7,781.4418369,348.756585,1111.642434,0.5805830853
i-067b2519b614c8f9d,0,48,9.042889065,0.00735357685,0.0008131888821,6.461334891,0.06523934139,0.01009688284,123604.3333,422.4882641,0.003418070004,536.2,542.9,1079.1,232.2837345,184.4706842,402.4904278,0.3729871446
i-06b96f53253b4cc2e,0,48,9.043481403,0.007159907255,0.0007917202387,6.532392475,0.06697567924,0.01025285598,124621.3333,220.4548329,0.001768997546,489.8,478.5,968.3,133.5937457,81.93527256,202.7412418,0.2093785415
