instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,mountPoint
i-002f7e27ea3e0bc1c,1573973929-0,m5d.large,60.2370548248291,10,10,1,TPC-B (sort of),simple,60 s,123924,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-0,m5d.large,60.27096199989319,10,10,1,TPC-B (sort of),simple,60 s,123006,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-0,m5d.large,60.28180742263794,10,10,1,TPC-B (sort of),simple,60 s,122928,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-1,m5d.large,60.225921392440796,10,10,1,TPC-B (sort of),simple,60 s,123065,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-1,m5d.large,60.26884198188782,10,10,1,TPC-B (sort of),simple,60 s,123022,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-1,m5d.large,60.251256227493286,10,10,1,TPC-B (sort of),simple,60 s,122946,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-2,m5d.large,60.23527121543884,10,10,1,TPC-B (sort of),simple,60 s,123143,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-2,m5d.large,60.38153314590454,10,10,1,TPC-B (sort of),simple,60 s,123011,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-2,m5d.large,60.35486054420471,10,10,1,TPC-B (sort of),simple,60 s,123492,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-3,m5d.large,60.32527232170105,10,10,1,TPC-B (sort of),simple,60 s,125510,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-3,m5d.large,60.42106890678406,10,10,1,TPC-B (sort of),simple,60 s,125821,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-3,m5d.large,60.25719380378723,10,10,1,TPC-B (sort of),simple,60 s,126243,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-4,m5d.large,60.231486082077026,10,10,1,TPC-B (sort of),simple,60 s,126987,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-4,m5d.large,60.285736322402954,10,10,1,TPC-B (sort of),simple,60 s,127901,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-4,m5d.large,60.240785360336304,10,10,1,TPC-B (sort of),simple,60 s,127593,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-5,m5d.large,60.32656717300415,10,10,1,TPC-B (sort of),simple,60 s,128472,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-5,m5d.large,60.306716203689575,10,10,1,TPC-B (sort of),simple,60 s,128900,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-5,m5d.large,60.30961465835571,10,10,1,TPC-B (sort of),simple,60 s,128668,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-6,m5d.large,60.30116939544678,10,10,1,TPC-B (sort of),simple,60 s,128470,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-6,m5d.large,60.58846688270569,10,10,1,TPC-B (sort of),simple,60 s,128841,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-6,m5d.large,60.22708988189697,10,10,1,TPC-B (sort of),simple,60 s,129578,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-7,m5d.large,60.258026123046875,10,10,1,TPC-B (sort of),simple,60 s,133242,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-7,m5d.large,60.25895690917969,10,10,1,TPC-B (sort of),simple,60 s,133292,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-7,m5d.large,60.237279653549194,10,10,1,TPC-B (sort of),simple,60 s,132952,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-8,m5d.large,60.252628564834595,10,10,1,TPC-B (sort of),simple,60 s,134609,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-8,m5d.large,60.289225339889526,10,10,1,TPC-B (sort of),simple,60 s,134597,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-8,m5d.large,60.28667855262756,10,10,1,TPC-B (sort of),simple,60 s,134634,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-9,m5d.large,60.232057332992554,10,10,1,TPC-B (sort of),simple,60 s,136354,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-9,m5d.large,60.23921728134155,10,10,1,TPC-B (sort of),simple,60 s,136514,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-9,m5d.large,60.25170302391052,10,10,1,TPC-B (sort of),simple,60 s,136426,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-10,m5d.large,60.22379541397095,10,10,1,TPC-B (sort of),simple,60 s,137265,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-10,m5d.large,60.23878717422485,10,10,1,TPC-B (sort of),simple,60 s,137465,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-10,m5d.large,60.24156427383423,10,10,1,TPC-B (sort of),simple,60 s,137990,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-11,m5d.large,60.254910707473755,10,10,1,TPC-B (sort of),simple,60 s,137900,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-11,m5d.large,60.216336727142334,10,10,1,TPC-B (sort of),simple,60 s,138122,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-11,m5d.large,60.24903869628906,10,10,1,TPC-B (sort of),simple,60 s,137286,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-12,m5d.large,60.24040865898132,10,10,1,TPC-B (sort of),simple,60 s,137713,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-12,m5d.large,60.28643751144409,10,10,1,TPC-B (sort of),simple,60 s,138015,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-12,m5d.large,60.2901885509491,10,10,1,TPC-B (sort of),simple,60 s,138023,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-13,m5d.large,60.21781301498413,10,10,1,TPC-B (sort of),simple,60 s,137925,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-13,m5d.large,60.2493999004364,10,10,1,TPC-B (sort of),simple,60 s,137418,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-13,m5d.large,60.26858830451965,10,10,1,TPC-B (sort of),simple,60 s,137558,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-14,m5d.large,60.37020540237427,10,10,1,TPC-B (sort of),simple,60 s,137403,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-14,m5d.large,60.390095472335815,10,10,1,TPC-B (sort of),simple,60 s,138377,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-14,m5d.large,60.349472999572754,10,10,1,TPC-B (sort of),simple,60 s,137648,data_directory = '/var/lib/postgresql/9.5/main'
