instanceID,setId,tenants,sysbench_wallTime,sysbench_std_wallTime,y_cruncher_wallTime,y_cruncher_std_wallTime,pgbench_transactions,pgbench_std_transactions,instanceID,iperf_bandwidthUpload,iperf_bandwitdhDownload,iperf_total,iperf_stdUp,iperf_stdDown,iperf_stdTotal
i-0009b7735dea24732,0,48,9.046351724,0.006011436,6.526651727,0.064484436,123377,269.8388408,i-0009b7735dea24732,612.8,566.3,1179.1,253.2915755,160.9113282,341.7102249
i-002f7e27ea3e0bc1c,0,48,9.043485377,0.005964335,6.532570812,0.044365697,123286,553.8989077,i-002f7e27ea3e0bc1c,518.3,556.9,1075.2,188.3171379,184.6500895,273.6395845
i-007e12c9530b8cdea,0,48,9.52516418,0.693472415,6.523446348,0.064271758,122657.6667,572.73234,i-007e12c9530b8cdea,371.3,486.5,857.8,143.4310132,136.416234,236.250244
i-008e6f72c7403b5d3,0,48,9.041284137,0.004990657,6.487584458,0.065375043,123779.6667,193.7171478,i-008e6f72c7403b5d3,594.9,482.1,1077,178.8353992,75.42685935,231.1762195
i-00ba7a56c944e5a25,0,48,9.04279942,0.005881235,6.568983396,0.087642021,123144,246.0325182,i-00ba7a56c944e5a25,859.6,762.3,1621.9,369.1766214,400.8851456,720.3239163
i-00d71d40b42658392,0,48,9.04251692,0.006557258,6.522931019,0.067735568,123051,634.3571549,i-00d71d40b42658392,513.2,504.8,1018,269.3926502,100.128584,357.5499965
i-01f539b055c2a5d34,0,48,9.044384188,0.003762286,6.541478978,0.069628361,122862.6667,83.2005609,i-01f539b055c2a5d34,500.3,520.4,1020.7,170.2782364,93.03667138,219.5414666
i-0243a74ede206f760,0,48,9.041509152,0.004389321,6.547124889,0.065851227,123389,439.2186244,i-0243a74ede206f760,528.2,534.9,1063.1,185.0452197,94.93676258,256.7966987
i-02765ba82e12781a4,0,48,9.04849977,0.0074034,6.522552411,0.032175156,123798.3333,686.0060738,i-02765ba82e12781a4,1265.6,853.2,2118.8,911.694052,587.8591668,1489.24961
i-02ca0e36a4acaf9fc,0,48,9.044084072,0.008855511,6.592776034,0.133228528,121889.6667,449.6235462,i-02ca0e36a4acaf9fc,466.2,496.7,962.9,195.1818525,183.9903681,324.2079065
i-040dfb2d2a1990b9d,0,48,9.044251813,0.006549465,6.56314773,0.084717516,123572.6667,383.0800613,i-040dfb2d2a1990b9d,844.6,784.6,1629.2,586.9529983,369.4831826,922.8214947
i-048c3c6548c1a414a,0,48,9.047797124,0.008361199,6.448157416,0.053202863,122087.6667,373.9175488,i-048c3c6548c1a414a,686.7,604.1,1290.8,251.8531539,197.044524,395.6572029
i-0507566c757134fb6,0,48,9.042800373,0.006914018,6.503663487,0.042094602,123698.6667,1002.646664,i-0507566c757134fb6,569.6,596.5,1166.1,188.4121959,132.0229357,259.4907192
i-05e473f8ff82c1527,0,48,9.043650998,0.006370106,6.505759372,0.036706993,122617.3333,765.8592125,i-05e473f8ff82c1527,1097.3,817.4,1914.7,781.4418369,348.756585,1111.642434
i-067b2519b614c8f9d,0,48,9.042889065,0.007353577,6.461334891,0.065239341,123604.3333,422.4882641,i-067b2519b614c8f9d,536.2,542.9,1079.1,232.2837345,184.4706842,402.4904278
i-06b96f53253b4cc2e,0,48,9.043481403,0.007159907,6.532392475,0.066975679,124621.3333,220.4548329,i-06b96f53253b4cc2e,489.8,478.5,968.3,133.5937457,81.93527256,202.7412418
i-071a48cf857bce94f,0,48,9.040715933,0.00532861,6.380723794,0.020169556,123231,587.1022058,i-071a48cf857bce94f,829.5,775.9,1605.4,422.4892504,461.7511234,732.0205219
i-07379900fe80899d6,0,48,9.043602016,0.004472066,6.516331858,0.047850511,122560.6667,442.6029071,i-07379900fe80899d6,606.7,574.8,1181.5,215.1950278,167.5123876,278.6839109
i-0763ab86e85627573,0,48,9.044649098,0.00646483,6.547708829,0.067247703,114626.6667,608.6019498,i-0763ab86e85627573,1205.9,895.4,2101.3,921.5292182,512.5455427,1418.732772
i-07998976f194caa97,0,48,9.041787359,0.006439623,6.552494049,0.06050698,124477.3333,521.7837994,i-07998976f194caa97,501.1,517.8,1018.9,268.8756218,179.5455993,405.0976426
i-07be1c77f6fdf8eda,0,48,9.043539206,0.006184897,6.555828042,0.064645292,124697.3333,580.5017944,i-07be1c77f6fdf8eda,416.9,523.6,940.5,64.55221831,154.3431962,181.0784054
i-07c76ac1348426483,0,48,9.042176061,0.005433032,6.550227748,0.092852554,120987,923.108336,i-07c76ac1348426483,1183.3,749.9,1933.2,981.687555,473.7785348,1453.769797
i-0837f0f6a7a42ac68,0,48,9.044361697,0.006968464,6.583419376,0.08755816,123209.6667,442.3690013,i-0837f0f6a7a42ac68,941.4,692.5,1633.9,443.6826193,329.0455051,738.6768125
i-084caea7d9c000ba9,0,48,9.044133425,0.005669395,6.535000801,0.069716031,123095.3333,661.7177142,i-084caea7d9c000ba9,894.2,721.4,1615.6,681.9010681,325.4675952,1000.598066
i-08559b79281547ef2,0,48,9.042878787,0.007356543,6.494289796,0.065575128,124267.6667,520.7248154,i-08559b79281547ef2,570.4,506.7,1077.1,173.597363,121.0996376,232.3160921
i-08e70b514c8c3cd5a,0,48,9.043890079,0.009335759,6.535252439,0.05316616,123006.6667,692.4047468,i-08e70b514c8c3cd5a,400.3,516.7,917,117.8728599,106.4070278,172.4458047
