instanceID,setId,tenants,transactions,std_transactions
i-0009b7735dea24732,0,48,123377.0,269.838840792055
i-002f7e27ea3e0bc1c,0,48,123286.0,553.8989077440034
i-007e12c9530b8cdea,0,48,122657.66666666667,572.7323400449251
i-008e6f72c7403b5d3,0,48,123779.66666666667,193.71714775242305
i-00ba7a56c944e5a25,0,48,123144.0,246.03251817595168
i-00d71d40b42658392,0,48,123051.0,634.3571549214212
i-01f539b055c2a5d34,0,48,122862.66666666667,83.20056089554699
i-0243a74ede206f760,0,48,123389.0,439.2186243774278
i-02765ba82e12781a4,0,48,123798.33333333333,686.0060738312245
i-02ca0e36a4acaf9fc,0,48,121889.66666666667,449.6235462398906
i-040dfb2d2a1990b9d,0,48,123572.66666666667,383.08006125787176
i-048c3c6548c1a414a,0,48,122087.66666666667,373.9175488437719
i-0507566c757134fb6,0,48,123698.66666666667,1002.6466642508377
i-05e473f8ff82c1527,0,48,122617.33333333333,765.8592124753284
i-067b2519b614c8f9d,0,48,123604.33333333333,422.488264136807
i-06b96f53253b4cc2e,0,48,124621.33333333333,220.45483286454288
i-071a48cf857bce94f,0,48,123231.0,587.1022057529677
i-07379900fe80899d6,0,48,122560.66666666667,442.6029070547717
i-0763ab86e85627573,0,48,114626.66666666667,608.6019498270895
i-07998976f194caa97,0,48,124477.33333333333,521.7837994163216
i-07be1c77f6fdf8eda,0,48,124697.33333333333,580.5017944273143
i-07c76ac1348426483,0,48,120987.0,923.1083360039601
i-0837f0f6a7a42ac68,0,48,123209.66666666667,442.36900132506435
i-084caea7d9c000ba9,0,48,123095.33333333333,661.717714235709
i-08559b79281547ef2,0,48,124267.66666666667,520.7248153615643
i-08e70b514c8c3cd5a,0,48,123006.66666666667,692.404746758235
i-08ff78a502245298a,0,48,123412.33333333333,704.3673284113421
i-095d06d26dd29ecec,0,48,124327.66666666667,755.226014735546
i-0977cb2af690d36fd,0,48,124736.33333333333,697.5738909487158
i-09c658651b17c197e,0,48,121159.33333333333,632.747448302505
i-0ab84c959b473605a,0,48,123040.0,39.395431207184416
i-0aecb3d1daeccc874,0,48,124828.33333333333,399.58144768411586
i-0b138e3642a677559,0,48,123374.33333333333,632.0967752910409
i-0b3a38b18367faa71,0,48,122475.66666666667,179.05958040086443
i-0ba417327f988ba2b,0,48,122970.66666666667,512.4747148234092
i-0bfaa8f4e041c36fa,0,48,124206.66666666667,560.1020740305602
i-0c3e9f9e7b281edfe,0,48,125848.66666666667,118.74903508379859
i-0cc4b604b837f69d9,0,48,123427.0,730.5073579369341
i-0d136c81f43ce8a29,0,48,123526.66666666667,116.74901855404784
i-0d1c421d52c368b29,0,48,123335.66666666667,399.81537405824525
