experimentID,setId,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1574832396-0,0,i-0952e4ffb0701ef91,z1d.large,6.8137393,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.81ms,6.7765s,2
1574832396-0,0,i-0952e4ffb0701ef91,z1d.large,6.79064393,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.84ms,6.7670s,2
1574832396-0,0,i-0952e4ffb0701ef91,z1d.large,6.79259634,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.99ms,6.7701s,2
1574832396-0,0,i-03408d1660c8a46ef,z1d.large,6.808756113,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.68ms,6.7657s,2
1574832396-0,0,i-03408d1660c8a46ef,z1d.large,6.794414043,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.73ms,6.7674s,2
1574832396-0,0,i-03408d1660c8a46ef,z1d.large,6.800028324,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.04ms,6.7725s,2
1574832396-0,0,i-0264f279d3b403129,z1d.large,6.821972132,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.81ms,6.7805s,2
1574832396-0,0,i-0264f279d3b403129,z1d.large,6.791950226,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.11ms,6.7660s,2
1574832396-0,0,i-0264f279d3b403129,z1d.large,6.796171427,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.30ms,6.7689s,2
1574832396-0,0,i-05fcaa4c910001a43,z1d.large,6.826275826,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.99ms,6.7721s,2
1574832396-0,0,i-05fcaa4c910001a43,z1d.large,6.797067881,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.60ms,6.7719s,2
1574832396-0,0,i-05fcaa4c910001a43,z1d.large,6.793707609,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.68ms,6.7687s,2
1574832396-0,0,i-0418367ce189d1786,z1d.large,6.84228754,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1355.08ms,6.7897s,2
1574832396-0,0,i-0418367ce189d1786,z1d.large,6.794051409,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.41ms,6.7651s,2
1574832396-0,0,i-0418367ce189d1786,z1d.large,6.805652857,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.66ms,6.7692s,2
1574832396-0,0,i-0c61cf5d940d1d8a5,z1d.large,6.829862118,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1355.85ms,6.7821s,2
1574832396-0,0,i-0c61cf5d940d1d8a5,z1d.large,6.800078392,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.21ms,6.7723s,2
1574832396-0,0,i-0c61cf5d940d1d8a5,z1d.large,6.798151731,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.00ms,6.7689s,2
1574832396-0,0,i-0ac261e9896ff2c73,z1d.large,6.807783604,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.21ms,6.7723s,2
1574832396-0,0,i-0ac261e9896ff2c73,z1d.large,6.786549091,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.14ms,6.7664s,2
1574832396-0,0,i-0ac261e9896ff2c73,z1d.large,6.788330793,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.62ms,6.7656s,2
1574832396-0,0,i-0dc67b095147f37f5,z1d.large,6.89925766,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.62ms,6.7797s,2
1574832396-0,0,i-0dc67b095147f37f5,z1d.large,6.795411825,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.75ms,6.7664s,2
1574832396-0,0,i-0dc67b095147f37f5,z1d.large,6.797561169,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.52ms,6.7681s,2
1574832396-0,0,i-08838863b441b446e,z1d.large,6.840271473,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1355.80ms,6.7845s,2
1574832396-0,0,i-08838863b441b446e,z1d.large,6.789386034,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.73ms,6.7650s,2
1574832396-0,0,i-08838863b441b446e,z1d.large,6.793663502,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.63ms,6.7660s,2
1574832396-0,0,i-08e78262adfd2f98b,z1d.large,6.815592527,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.33ms,6.7734s,2
1574832396-0,0,i-08e78262adfd2f98b,z1d.large,6.79150176,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.17ms,6.7663s,2
1574832396-0,0,i-08e78262adfd2f98b,z1d.large,6.793281555,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.88ms,6.7687s,2
1574832396-0,0,i-0bd7297ea3249dfe3,z1d.large,6.827105761,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1355.79ms,6.7795s,2
1574832396-0,0,i-0bd7297ea3249dfe3,z1d.large,6.79139185,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.24ms,6.7675s,2
1574832396-0,0,i-0bd7297ea3249dfe3,z1d.large,6.795378208,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.64ms,6.7706s,2
1574832396-0,0,i-082b0ee8827dfb932,z1d.large,6.83590579,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.91ms,6.7840s,2
