experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1574752581-0,i-029309b5aee386a90,z1d.large,6.792945862,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.02ms,6.7644s,2
1574752581-0,i-029309b5aee386a90,z1d.large,6.781176329,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.26ms,6.7621s,2
1574752581-0,i-029309b5aee386a90,z1d.large,6.790641069,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.10ms,6.7718s,2
1574752581-1,i-029309b5aee386a90,z1d.large,6.789735556,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.15ms,6.7619s,2
1574752581-1,i-029309b5aee386a90,z1d.large,6.780566454,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.01ms,6.7616s,2
1574752581-1,i-029309b5aee386a90,z1d.large,6.78583765,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.14ms,6.7661s,2
1574752581-2,i-029309b5aee386a90,z1d.large,6.789792299,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.01ms,6.7636s,2
1574752581-2,i-029309b5aee386a90,z1d.large,6.782418013,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.07ms,6.7621s,2
1574752581-2,i-029309b5aee386a90,z1d.large,6.79105401,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.17ms,6.7723s,2
1574752581-3,i-029309b5aee386a90,z1d.large,6.79096818,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.08ms,6.7635s,2
1574752581-3,i-029309b5aee386a90,z1d.large,6.782548904,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.16ms,6.7640s,2
1574752581-3,i-029309b5aee386a90,z1d.large,6.786752224,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.18ms,6.7673s,2
1574752581-4,i-029309b5aee386a90,z1d.large,6.786979914,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.11ms,6.7611s,2
1574752581-4,i-029309b5aee386a90,z1d.large,6.783809185,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.43ms,6.7647s,2
1574752581-4,i-029309b5aee386a90,z1d.large,6.784373283,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.11ms,6.7665s,2
1574752581-5,i-029309b5aee386a90,z1d.large,6.787999868,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.10ms,6.7623s,2
1574752581-5,i-029309b5aee386a90,z1d.large,6.780111313,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.23ms,6.7614s,2
1574752581-5,i-029309b5aee386a90,z1d.large,6.790989399,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.06ms,6.7730s,2
1574752581-6,i-029309b5aee386a90,z1d.large,6.781951904,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.15ms,6.7609s,2
