instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-0a13073bbdab2dabb,1574750244-0,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Nov 26 06:42:01 2019,15.0 GiB,Push,195.78 %,97.89 %,4.28,4.436,4.904859543
i-0a13073bbdab2dabb,1574750244-0,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Nov 26 06:42:06 2019,15.0 GiB,Push,196.24 %,98.12 %,4.285,4.476,4.880172968
i-0a13073bbdab2dabb,1574750244-0,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Nov 26 06:42:11 2019,15.0 GiB,Push,196.73 %,98.36 %,4.3,4.491,4.897792816
i-0a13073bbdab2dabb,1574750244-1,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Nov 26 06:43:02 2019,15.0 GiB,Push,196.64 %,98.32 %,4.267,4.451,4.906036139
i-0a13073bbdab2dabb,1574750244-1,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Nov 26 06:43:07 2019,15.0 GiB,Push,196.78 %,98.39 %,4.304,4.492,4.895795107
i-0a13073bbdab2dabb,1574750244-1,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Nov 26 06:43:12 2019,15.0 GiB,Push,196.72 %,98.36 %,4.295,4.483,4.885947227
i-0a13073bbdab2dabb,1574750244-2,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Nov 26 06:44:01 2019,15.0 GiB,Push,195.99 %,97.99 %,4.301,4.501,5.081100702
i-0a13073bbdab2dabb,1574750244-2,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Nov 26 06:44:06 2019,15.0 GiB,Push,195.59 %,97.79 %,4.3,4.487,4.887744188
i-0a13073bbdab2dabb,1574750244-2,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Nov 26 06:44:11 2019,15.0 GiB,Push,196.40 %,98.20 %,4.292,4.479,4.883919954
i-0a13073bbdab2dabb,1574750244-3,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Nov 26 06:45:02 2019,15.0 GiB,Push,196.90 %,98.45 %,4.271,4.46,4.915738583
