instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-0375df0008c5430c4,1574823445-0,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:02:01 2019,14.9 GiB,Push,195.46 %,97.73 %,4.257,4.41,4.848627329
i-0375df0008c5430c4,1574823445-0,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:02:06 2019,14.9 GiB,Push,195.86 %,97.93 %,4.273,4.469,4.857262611
i-0375df0008c5430c4,1574823445-0,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:02:12 2019,14.9 GiB,Push,195.35 %,97.68 %,4.274,4.467,4.864101648
i-0375df0008c5430c4,1574823445-1,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:03:01 2019,14.9 GiB,Push,195.79 %,97.90 %,4.265,4.479,4.911329985
i-0375df0008c5430c4,1574823445-1,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:03:06 2019,14.9 GiB,Push,195.84 %,97.92 %,4.294,4.48,4.877564907
i-0375df0008c5430c4,1574823445-1,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:03:11 2019,14.9 GiB,Push,195.61 %,97.80 %,4.269,4.468,4.857713461
i-0375df0008c5430c4,1574823445-2,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:04:01 2019,14.9 GiB,Push,195.54 %,97.77 %,4.296,4.54,4.971870184
i-0375df0008c5430c4,1574823445-2,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:04:07 2019,14.9 GiB,Push,195.34 %,97.67 %,4.29,4.489,4.876064301
i-0375df0008c5430c4,1574823445-2,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:04:12 2019,14.9 GiB,Push,195.07 %,97.53 %,4.306,4.499,4.88686657
i-0375df0008c5430c4,1574823445-3,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:05:01 2019,14.9 GiB,Push,196.03 %,98.01 %,4.295,4.484,4.924680948
i-0375df0008c5430c4,1574823445-3,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:05:06 2019,14.9 GiB,Push,195.28 %,97.64 %,4.291,4.478,4.874952316
i-0375df0008c5430c4,1574823445-3,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:05:11 2019,14.9 GiB,Push,195.66 %,97.83 %,4.309,4.495,4.89462471
i-0375df0008c5430c4,1574823445-4,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:06:02 2019,14.9 GiB,Push,195.81 %,97.91 %,4.29,4.479,4.922321796
i-0375df0008c5430c4,1574823445-4,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:06:07 2019,14.9 GiB,Push,195.09 %,97.54 %,4.296,4.48,4.876498699
i-0375df0008c5430c4,1574823445-4,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:06:12 2019,14.9 GiB,Push,195.70 %,97.85 %,4.277,4.464,4.856626987
i-0375df0008c5430c4,1574823445-5,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:07:01 2019,14.9 GiB,Push,196.60 %,98.30 %,4.288,4.475,4.921142817
i-0375df0008c5430c4,1574823445-5,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:07:06 2019,14.9 GiB,Push,196.62 %,98.31 %,4.298,4.486,4.884200573
i-0375df0008c5430c4,1574823445-5,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:07:12 2019,14.9 GiB,Push,195.65 %,97.82 %,4.304,4.492,4.885825872
i-0375df0008c5430c4,1574823445-6,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:08:01 2019,14.9 GiB,Push,139.88 %,69.94 %,5.383,5.716,6.175237179
i-0375df0008c5430c4,1574823445-6,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:08:07 2019,14.9 GiB,Push,131.99 %,65.99 %,5.667,5.877,6.334618807
i-0375df0008c5430c4,1574823445-6,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:08:14 2019,14.9 GiB,Push,130.33 %,65.17 %,5.501,5.697,6.235685587
i-0375df0008c5430c4,1574823445-7,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:09:02 2019,15.0 GiB,Push,195.93 %,97.97 %,4.287,4.489,4.94638896
i-0375df0008c5430c4,1574823445-7,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:09:07 2019,15.0 GiB,Push,195.69 %,97.84 %,4.308,4.517,4.907037735
i-0375df0008c5430c4,1574823445-7,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:09:12 2019,15.0 GiB,Push,196.02 %,98.01 %,4.321,4.529,4.917137384
i-0375df0008c5430c4,1574823445-8,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:10:01 2019,15.0 GiB,Push,196.41 %,98.21 %,4.302,4.489,4.940832615
i-0375df0008c5430c4,1574823445-8,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:10:06 2019,15.0 GiB,Push,196.47 %,98.23 %,4.306,4.49,4.883278608
i-0375df0008c5430c4,1574823445-8,z1d.large,15.4 GiB,Intel(R) Xeon(R) Platinum 8151 CPU @ 3.40GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Wed Nov 27 03:10:11 2019,15.0 GiB,Push,196.83 %,98.41 %,4.313,4.5,4.893425941
