c4.large,# co-locat,CPU (y-cruncher),CPU + I/O (pgbench),Network (iperf),CPU (sysbench),CPU (y-cruncher no idle)
,1,100.00%,94.07%,100.00%,100.00%,100.00%
,2,98.81%,100.00%,102.33%,100.04%,100.50%
,3,98.71%,97.81%,101.69%,100.02%,101.09%
,4,98.67%,96.82%,102.34%,99.95%,100.75%
,5,98.42%,95.56%,102.01%,100.01%,100.22%
,6,97.92%,97.27%,97.36%,99.97%,99.64%
,7,98.20%,97.29%,91.13%,100.00%,99.19%
,8,98.23%,96.72%,90.17%,99.97%,99.65%
,9,96.91%,97.18%,88.93%,99.98%,99.88%
,10,93.53%,96.10%,83.55%,99.95%,99.76%
,11,93.91%,95.25%,79.15%,99.97%,99.84%
,12,94.27%,96.46%,74.71%,99.97%,99.53%
,13,94.68%,95.20%,69.03%,100.00%,99.40%
,14,94.35%,95.32%,65.35%,99.96%,99.00%
,15,93.60%,95.10%,61.70%,99.96%,98.61%
,16,91.19%,94.71%,59.21%,99.83%,95.92%
