m5d.large,# co-locat,CPU (y-cruncher),CPU + I/O (pgbench),Network (iperf),CPU (sysbench),CPU (y-cruncher no idle)
,1,100.00%,100.00%,100.00%,100.00%,100.00%
,2,98.45%,98.60%,93.32%,99.95%,98.72%
,3,93.10%,98.99%,70.62%,94.49%,99.17%
,4,92.67%,96.15%,52.70%,94.51%,95.46%
,5,89.71%,92.45%,45.63%,91.53%,96.02%
,6,89.09%,92.11%,38.56%,91.12%,95.24%
,7,88.18%,94.20%,34.07%,91.54%,93.21%
,8,87.05%,91.15%,31.06%,91.53%,93.09%
,9,88.95%,86.70%,27.95%,92.48%,91.35%
,10,89.94%,92.34%,25.04%,93.22%,90.59%
,11,89.30%,89.31%,22.39%,92.34%,89.68%
,12,89.33%,93.61%,21.39%,92.51%,86.66%
,13,88.23%,90.93%,18.65%,91.53%,89.31%
,14,88.42%,92.05%,17.90%,91.53%,88.77%
,15,88.06%,91.73%,16.89%,91.53%,88.26%
,16,87.73%,89.23%,15.74%,91.51%,86.80%
,17,86.31%,88.70%,14.39%,91.52%,86.62%
,18,85.90%,85.31%,13.80%,91.52%,85.03%
,19,85.05%,83.72%,13.14%,91.51%,84.83%
,20,85.09%,84.86%,12.66%,91.46%,84.29%
,21,80.07%,83.19%,11.95%,91.52%,84.02%
,22,79.54%,83.52%,11.48%,91.53%,79.29%
,23,78.88%,84.33%,11.08%,91.51%,79.61%
,24,77.87%,84.39%,10.47%,91.50%,78.68%
,25,77.40%,83.80%,10.13%,89.86%,78.69%
,26,77.35%,84.64%,9.85%,89.64%,78.62%
,27,77.34%,85.76%,9.48%,89.76%,78.47%
,28,77.62%,84.23%,9.21%,89.59%,75.26%
,29,74.12%,82.10%,8.93%,83.39%,74.75%
,30,73.84%,85.48%,8.66%,83.21%,74.54%
,31,73.49%,84.63%,8.35%,83.00%,74.15%
,32,73.17%,84.14%,8.11%,82.85%,69.03%
,33,68.35%,82.78%,7.87%,81.88%,68.86%
,34,67.50%,81.16%,7.65%,82.06%,68.48%
,35,66.88%,80.36%,7.43%,82.23%,63.68%
,36,66.30%,79.56%,7.22%,82.33%,63.15%
,37,63.92%,79.22%,7.02%,77.64%,62.85%
,38,62.87%,77.85%,6.83%,77.67%,62.31%
,39,61.70%,77.28%,6.65%,77.65%,62.16%
,40,60.40%,77.00%,6.49%,77.64%,61.57%
,41,56.81%,75.69%,6.31%,75.76%,59.85%
,42,56.52%,75.45%,6.16%,75.72%,59.14%
,43,56.50%,75.21%,6.01%,75.68%,57.07%
,44,55.71%,74.57%,5.87%,75.57%,56.24%
,45,54.07%,73.90%,5.74%,73.85%,55.79%
,46,53.98%,73.40%,5.60%,73.88%,54.88%
,47,52.15%,72.62%,5.49%,73.86%,54.00%
,48,52.03%,72.38%,5.42%,73.66%,52.42%
,,,,,,
,,47.97%,27.62%,94.58%,,
