z1d.large,# co-locat,CPU (y-cruncher),CPU + I/O (pgbench),Network (iperf),CPU (sysbench),CPU (y-cruncher no idle)
,1,100.00%,100.00%,100.00%,100.00%,100.00%
,2,99.85%,98.99%,88.88%,100.13%,97.08%
,3,98.81%,98.12%,80.55%,100.19%,92.32%
,4,98.01%,97.35%,67.41%,100.11%,91.81%
,5,97.68%,97.41%,60.39%,100.17%,89.14%
,6,97.24%,98.32%,53.61%,100.14%,89.03%
,7,96.80%,98.50%,46.00%,100.17%,88.42%
,8,96.52%,97.66%,42.17%,100.18%,86.62%
,9,96.01%,97.31%,38.34%,100.19%,87.21%
,10,95.42%,97.10%,35.74%,100.19%,85.48%
,11,94.95%,97.09%,31.63%,100.21%,85.61%
,12,94.52%,96.26%,29.89%,100.22%,85.24%
,13,94.11%,95.61%,27.54%,100.22%,86.13%
,14,93.67%,95.34%,26.21%,100.23%,87.00%
,15,93.11%,94.64%,24.62%,100.23%,86.67%
,16,92.59%,93.88%,22.41%,100.21%,87.45%
,17,92.29%,93.66%,21.60%,100.20%,86.20%
,18,92.05%,93.51%,20.85%,100.23%,86.55%
,19,91.94%,92.48%,19.53%,100.24%,86.53%
,20,91.83%,91.96%,18.27%,100.20%,86.27%
,21,91.46%,91.36%,17.78%,100.21%,85.55%
,22,91.20%,90.82%,16.95%,100.18%,85.40%
,23,90.93%,89.87%,16.27%,100.21%,85.35%
,24,90.23%,88.82%,15.44%,100.11%,82.56%
