python3 distribute_work.py -b sysbench -s -c 5 -n 10 -d 2,,,,,,,,
experimentID,setId,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1573168503-0,0,i-00425c78c8efcd2bd,m5d.large,9.063211918,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.09ms,9.0285s,2
1573168503-0,0,i-00425c78c8efcd2bd,m5d.large,9.046826839,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.67ms,9.0203s,2
1573168503-0,0,i-00425c78c8efcd2bd,m5d.large,9.049040079,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.54ms,9.0197s,2
1573168503-0,0,i-00425c78c8efcd2bd,m5d.large,9.073480368,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.66ms,9.0450s,2
1573168503-0,0,i-00425c78c8efcd2bd,m5d.large,9.056285858,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.61ms,9.0323s,2
1573168503-0,0,i-00425c78c8efcd2bd,m5d.large,9.042143822,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.76ms,9.0173s,2
1573168503-0,0,i-00425c78c8efcd2bd,m5d.large,9.047390461,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.56ms,9.0226s,2
1573168503-0,0,i-00425c78c8efcd2bd,m5d.large,9.088444233,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.79ms,9.0649s,2
1573168503-0,0,i-00425c78c8efcd2bd,m5d.large,9.040113449,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.08ms,9.0166s,2
1573168503-0,0,i-00425c78c8efcd2bd,m5d.large,9.048206806,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.27ms,9.0245s,2
1573168503-0,0,i-0075416f1b54ff6bd,m5d.large,9.061522007,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.42ms,9.0232s,2
1573168503-0,0,i-0075416f1b54ff6bd,m5d.large,9.040944815,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.76ms,9.0177s,2
1573168503-0,0,i-0075416f1b54ff6bd,m5d.large,9.04224205,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.94ms,9.0180s,2
1573168503-0,0,i-0075416f1b54ff6bd,m5d.large,9.086230755,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.94ms,9.0507s,2
1573168503-0,0,i-0075416f1b54ff6bd,m5d.large,9.071599483,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.06ms,9.0269s,2
1573168503-0,0,i-0075416f1b54ff6bd,m5d.large,9.059959173,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.83ms,9.0185s,2
1573168503-0,0,i-0075416f1b54ff6bd,m5d.large,9.06717658,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.69ms,9.0197s,2
1573168503-0,0,i-0075416f1b54ff6bd,m5d.large,9.110126495,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.09ms,9.0623s,2
1573168503-0,0,i-0075416f1b54ff6bd,m5d.large,9.054383278,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.99ms,9.0157s,2
1573168503-0,0,i-0075416f1b54ff6bd,m5d.large,9.063539982,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.21ms,9.0249s,2
1573168503-0,0,i-007f44f34c3333d9c,m5d.large,9.094683409,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.35ms,9.0186s,2
1573168503-0,0,i-007f44f34c3333d9c,m5d.large,9.057156086,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.88ms,9.0274s,2
1573168503-0,0,i-007f44f34c3333d9c,m5d.large,9.079190016,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.83ms,9.0458s,2
1573168503-0,0,i-007f44f34c3333d9c,m5d.large,9.05688405,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.25ms,9.0197s,2
1573168503-0,0,i-007f44f34c3333d9c,m5d.large,9.060626507,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.41ms,9.0175s,2
1573168503-0,0,i-007f44f34c3333d9c,m5d.large,9.107713223,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.69ms,9.0666s,2
1573168503-0,0,i-007f44f34c3333d9c,m5d.large,9.057132006,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.53ms,9.0197s,2
1573168503-0,0,i-007f44f34c3333d9c,m5d.large,9.066940546,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.16ms,9.0213s,2
1573168503-0,0,i-007f44f34c3333d9c,m5d.large,9.068885088,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.63ms,9.0295s,2
1573168503-0,0,i-007f44f34c3333d9c,m5d.large,9.064682007,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.47ms,9.0226s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.051643848,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.70ms,9.0169s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.042409658,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.44ms,9.0175s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.067659855,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.77ms,9.0364s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.052537441,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.80ms,9.0157s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.059851885,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.69ms,9.0158s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.107334375,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.54ms,9.0637s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.060681343,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.99ms,9.0248s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.039546251,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.55ms,9.0173s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.049874067,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.83ms,9.0202s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.045672178,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.95ms,9.0227s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.120905638,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.55ms,9.0227s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.041068554,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.78ms,9.0171s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.040517807,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.83ms,9.0160s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.067051172,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.03ms,9.0408s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.049160242,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.57ms,9.0235s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.041982651,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.84ms,9.0162s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.04537797,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.89ms,9.0216s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.044033527,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.85ms,9.0183s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.046770573,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.63ms,9.0230s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.045057058,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.13ms,9.0212s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.054904222,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.76ms,9.0214s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.040816069,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.16ms,9.0172s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.040354013,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.30ms,9.0174s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.056795359,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.19ms,9.0321s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.061144829,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.11ms,9.0225s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.041331768,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.11ms,9.0174s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.045454979,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.10ms,9.0219s,2
