python3 distribute_work.py -b sysbench -c 5 -n 10 -d 2,,,,,,,,,,
experimentID,setId,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num,Standard deviation,Average
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.088862181,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.37ms,9.0233s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.058318615,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.81ms,9.0378s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.04495573,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.16ms,9.0238s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.039877176,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.74ms,9.0185s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.046843529,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.48ms,9.0241s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.038472176,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.18ms,9.0168s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.057060957,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.41ms,9.0259s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.069123507,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.61ms,9.0359s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.056812763,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.10ms,9.0165s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.066376209,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.01ms,9.0193s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.18665719,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.85ms,9.0292s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.047185183,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.30ms,9.0262s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.037134409,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.02ms,9.0163s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.040085793,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.58ms,9.0204s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.087339401,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.80ms,9.0668s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.036705971,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.99ms,9.0158s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.037454367,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.00ms,9.0166s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.044019222,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.20ms,9.0238s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.066260338,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.78ms,9.0283s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.065850496,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.61ms,9.0174s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.193925381,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.99ms,9.0260s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.051394224,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.23ms,9.0310s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.045306206,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.69ms,9.0166s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.038543224,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.52ms,9.0169s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.085396528,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.35ms,9.0619s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.041150093,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.65ms,9.0172s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.044210196,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.84ms,9.0215s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.048796415,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.13ms,9.0257s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.045942783,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.51ms,9.0208s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.038591385,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.62ms,9.0147s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.075620651,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.75ms,9.0407s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.037774324,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.81ms,9.0170s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.036397457,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.73ms,9.0171s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.034648657,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.87ms,9.0157s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.044394732,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.82ms,9.0167s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.038619041,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.76ms,9.0195s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.038012981,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.93ms,9.0180s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.040162086,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.16ms,9.0216s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.039649725,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.05ms,9.0205s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.038198233,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.89ms,9.0175s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.053141832,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.16ms,9.0222s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.062203407,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.29ms,9.0400s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.03802228,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.63ms,9.0161s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.037652254,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.62ms,9.0175s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.090891123,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.16ms,9.0712s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.042671204,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.22ms,9.0225s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.040131569,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.81ms,9.0191s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.042072058,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.20ms,9.0222s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.042952299,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.65ms,9.0235s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.038046122,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.77ms,9.0187s,2,,
1571978908-0,0,i-032930eff24a46050,m5d.large,9.18717742,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.90ms,9.0346s,2,,
1571978908-0,0,i-032930eff24a46050,m5d.large,9.045201302,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.14ms,9.0255s,2,,
1571978908-0,0,i-032930eff24a46050,m5d.large,9.044579268,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.04ms,9.0225s,2,,
1571978908-0,0,i-032930eff24a46050,m5d.large,9.042157412,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.06ms,9.0219s,2,,
1571978908-0,0,i-032930eff24a46050,m5d.large,9.090506077,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.50ms,9.0696s,2,,
1571978908-0,0,i-032930eff24a46050,m5d.large,9.051987171,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.17ms,9.0215s,2,,
1571978908-0,0,i-032930eff24a46050,m5d.large,9.042564869,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.45ms,9.0206s,2,,
1571978908-0,0,i-032930eff24a46050,m5d.large,9.052258968,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.22ms,9.0300s,2,,
1571978908-0,0,i-032930eff24a46050,m5d.large,9.04810524,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.62ms,9.0256s,2,,
1571978908-0,0,i-032930eff24a46050,m5d.large,9.041579485,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.23ms,9.0204s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.063712835,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.03ms,9.0322s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.038198948,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.05ms,9.0174s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.035649538,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.80ms,9.0162s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.040804386,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.57ms,9.0214s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.075289965,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.67ms,9.0544s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.037868738,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.05ms,9.0156s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.053916454,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.31ms,9.0308s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.03902483,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.83ms,9.0187s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.040784597,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.66ms,9.0179s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.066232443,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.54ms,9.0187s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.081874132,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.00ms,9.0424s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.050793648,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.87ms,9.0295s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.03986311,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.16ms,9.0189s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.042777061,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.14ms,9.0191s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.090552092,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.48ms,9.0681s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.04141283,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.41ms,9.0184s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.044604301,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.26ms,9.0217s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.061563253,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.00ms,9.0352s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.04869175,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.07ms,9.0271s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.042004824,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.17ms,9.0207s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.132980347,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.48ms,9.0405s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.035414457,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.51ms,9.0152s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.034372807,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.45ms,9.0147s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.080366135,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.82ms,9.0607s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.047196627,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.93ms,9.0260s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.039610624,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.63ms,9.0165s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.051673651,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.88ms,9.0279s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.054887056,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.13ms,9.0338s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.052750349,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.65ms,9.0212s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.050571918,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.30ms,9.0208s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.077885389,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.52ms,9.0465s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.036693811,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.65ms,9.0170s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.041022778,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.71ms,9.0162s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.041167021,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.52ms,9.0178s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.08708024,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.49ms,9.0657s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.039091349,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.87ms,9.0169s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.044950247,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.47ms,9.0245s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.040219784,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.69ms,9.0204s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.035286427,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.15ms,9.0167s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.035366535,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.96ms,9.0149s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.149715662,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.09ms,9.0156s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.060911894,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.32ms,9.0381s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.039666176,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.89ms,9.0173s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.043713331,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.86ms,9.0179s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.053156376,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.60ms,9.0286s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.085545778,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.50ms,9.0622s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.052268028,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.10ms,9.0202s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.069930315,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.29ms,9.0308s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.063470125,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.86ms,9.0255s,2,,
