instanceID,experimentID,setId,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime,stdev,average
i-0576c464a37051792,1572217708-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Oct 27 23:18:02 2019,7.18 GiB,Push,196.65%,98.33%,5.065,5.225,6.408016682,,
i-0576c464a37051792,1572217708-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Oct 27 23:18:08 2019,7.17 GiB,Push,197.14%,98.57%,5.083,5.366,5.812472582,,
i-0576c464a37051792,1572217708-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sun Oct 27 23:18:14 2019,7.19 GiB,Push,196.41%,98.21%,5.071,5.34,5.782897949,0.352685144,6.001129071
i-0015e1efd3c892e03,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01003146,,
i-0015e1efd3c892e03,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01002717,,
i-0015e1efd3c892e03,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01002836,,
i-006cafc52a1f95039,1572217708-0,0,m5d.large,,,,,,,,,,,,10.0100317,,
i-006cafc52a1f95039,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01002502,,
i-006cafc52a1f95039,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01002598,,
i-0088ebd126a8b57c1,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01003599,,
i-0088ebd126a8b57c1,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01002669,,
i-0088ebd126a8b57c1,1572217708-0,0,m5d.large,,,,,,,,,,,,10.0001719,,
i-01d3c37ff6be6d39a,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01003647,,
i-01d3c37ff6be6d39a,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01003027,,
i-01d3c37ff6be6d39a,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01002979,,
i-01d8ac2969deacff4,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01003861,,
i-01d8ac2969deacff4,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01002645,,
i-01d8ac2969deacff4,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01002979,,
i-01dad86d7c5af8b22,1572217708-0,0,m5d.large,,,,,,,,,,,,10.00883722,,
i-01dad86d7c5af8b22,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01002836,,
i-01dad86d7c5af8b22,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01002455,,
i-037e50d7fe9977d36,1572217708-0,0,m5d.large,,,,,,,,,,,,10.0028758,,
i-037e50d7fe9977d36,1572217708-0,0,m5d.large,,,,,,,,,,,,10.00441885,,
i-037e50d7fe9977d36,1572217708-0,0,m5d.large,,,,,,,,,,,,10.0100255,,
i-05033360476b4446f,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01003218,,
i-05033360476b4446f,1572217708-0,0,m5d.large,,,,,,,,,,,,10.01002574,,
i-05033360476b4446f,1572217708-0,0,m5d.large,,,,,,,,,,,,10.00536227,,
