instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-081386f91917e838e,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:01 2019,7.18 GiB,Push,197.10 %,98.55 %,5.180,5.352,5.82039213180542
i-081386f91917e838e,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:07 2019,7.17 GiB,Push,196.17 %,98.09 %,5.210,5.673,6.102687358856201
i-081386f91917e838e,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:13 2019,7.18 GiB,Push,194.59 %,97.30 %,5.206,5.443,5.877023696899414
i-081386f91917e838e,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:19 2019,7.18 GiB,Push,196.67 %,98.33 %,5.181,5.403,5.8341779708862305
i-081386f91917e838e,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:25 2019,7.18 GiB,Push,196.55 %,98.27 %,5.174,5.495,5.931552410125732
i-081386f91917e838e,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:32 2019,7.18 GiB,Push,196.87 %,98.43 %,5.186,5.490,5.931471586227417
i-081386f91917e838e,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:38 2019,7.18 GiB,Push,196.16 %,98.08 %,5.195,5.396,5.826349973678589
i-081386f91917e838e,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:44 2019,7.18 GiB,Push,195.28 %,97.64 %,5.177,5.519,5.959368944168091
i-081386f91917e838e,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:50 2019,7.18 GiB,Push,196.72 %,98.36 %,5.221,5.420,5.861090898513794
i-081386f91917e838e,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:56 2019,7.18 GiB,Push,196.64 %,98.32 %,5.228,5.531,6.080884218215942
i-00ff625dd40e36264,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:02 2019,7.18 GiB,Push,196.92 %,98.46 %,5.195,5.367,6.48426079750061
i-00ff625dd40e36264,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:08 2019,7.17 GiB,Push,195.71 %,97.85 %,5.202,5.545,6.000187873840332
i-00ff625dd40e36264,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:14 2019,7.18 GiB,Push,195.11 %,97.55 %,5.218,5.485,6.035269498825073
i-00ff625dd40e36264,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:21 2019,7.18 GiB,Push,196.57 %,98.29 %,5.194,5.529,5.9733452796936035
i-00ff625dd40e36264,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:27 2019,7.18 GiB,Push,197.08 %,98.54 %,5.216,5.425,5.903048276901245
i-00ff625dd40e36264,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:33 2019,7.18 GiB,Push,196.42 %,98.21 %,5.229,5.432,5.880499839782715
i-00ff625dd40e36264,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:39 2019,7.18 GiB,Push,196.86 %,98.43 %,5.192,5.396,5.839223623275757
i-00ff625dd40e36264,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:45 2019,7.18 GiB,Push,196.90 %,98.45 %,5.160,5.364,5.806601524353027
i-00ff625dd40e36264,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:51 2019,7.18 GiB,Push,196.56 %,98.28 %,5.199,5.649,6.100391149520874
i-00ff625dd40e36264,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:57 2019,7.18 GiB,Push,196.84 %,98.42 %,5.182,5.391,5.8403239250183105
i-048437a988cd24bc2,1573766814-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:28:02 2019,7.18 GiB,Push,196.68 %,98.34 %,5.135,5.307,6.5183494091033936
