instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,mountPoint
i-081386f91917e838e,1573768024-0,m5d.large,60.190189838409424,10,10,1,TPC-B (sort of),simple,60 s,145271,data_directory = '/var/lib/postgresql/9.5/main'
i-081386f91917e838e,1573768024-0,m5d.large,60.187281370162964,10,10,1,TPC-B (sort of),simple,60 s,145140,data_directory = '/var/lib/postgresql/9.5/main'
i-081386f91917e838e,1573768024-0,m5d.large,60.1761839389801,10,10,1,TPC-B (sort of),simple,60 s,145455,data_directory = '/var/lib/postgresql/9.5/main'
i-081386f91917e838e,1573768024-0,m5d.large,60.17701458930969,10,10,1,TPC-B (sort of),simple,60 s,145326,data_directory = '/var/lib/postgresql/9.5/main'
i-081386f91917e838e,1573768024-0,m5d.large,60.180248975753784,10,10,1,TPC-B (sort of),simple,60 s,145640,data_directory = '/var/lib/postgresql/9.5/main'
i-081386f91917e838e,1573768024-0,m5d.large,60.18732452392578,10,10,1,TPC-B (sort of),simple,60 s,145441,data_directory = '/var/lib/postgresql/9.5/main'
i-081386f91917e838e,1573768024-0,m5d.large,60.181498527526855,10,10,1,TPC-B (sort of),simple,60 s,145158,data_directory = '/var/lib/postgresql/9.5/main'
i-081386f91917e838e,1573768024-0,m5d.large,60.175647258758545,10,10,1,TPC-B (sort of),simple,60 s,145850,data_directory = '/var/lib/postgresql/9.5/main'
i-081386f91917e838e,1573768024-0,m5d.large,60.173502683639526,10,10,1,TPC-B (sort of),simple,60 s,145503,data_directory = '/var/lib/postgresql/9.5/main'
i-081386f91917e838e,1573768024-0,m5d.large,60.18037223815918,10,10,1,TPC-B (sort of),simple,60 s,145942,data_directory = '/var/lib/postgresql/9.5/main'
i-00ff625dd40e36264,1573768024-0,m5d.large,60.33065605163574,10,10,1,TPC-B (sort of),simple,60 s,145203,data_directory = '/var/lib/postgresql/9.5/main'
i-00ff625dd40e36264,1573768024-0,m5d.large,60.23811435699463,10,10,1,TPC-B (sort of),simple,60 s,144571,data_directory = '/var/lib/postgresql/9.5/main'
i-00ff625dd40e36264,1573768024-0,m5d.large,60.31096911430359,10,10,1,TPC-B (sort of),simple,60 s,144351,data_directory = '/var/lib/postgresql/9.5/main'
i-00ff625dd40e36264,1573768024-0,m5d.large,60.274420738220215,10,10,1,TPC-B (sort of),simple,60 s,144003,data_directory = '/var/lib/postgresql/9.5/main'
i-00ff625dd40e36264,1573768024-0,m5d.large,60.21110773086548,10,10,1,TPC-B (sort of),simple,60 s,144338,data_directory = '/var/lib/postgresql/9.5/main'
i-00ff625dd40e36264,1573768024-0,m5d.large,60.2426438331604,10,10,1,TPC-B (sort of),simple,60 s,144414,data_directory = '/var/lib/postgresql/9.5/main'
i-00ff625dd40e36264,1573768024-0,m5d.large,60.28132367134094,10,10,1,TPC-B (sort of),simple,60 s,144393,data_directory = '/var/lib/postgresql/9.5/main'
i-00ff625dd40e36264,1573768024-0,m5d.large,60.30155944824219,10,10,1,TPC-B (sort of),simple,60 s,144125,data_directory = '/var/lib/postgresql/9.5/main'
i-00ff625dd40e36264,1573768024-0,m5d.large,60.29564189910889,10,10,1,TPC-B (sort of),simple,60 s,144433,data_directory = '/var/lib/postgresql/9.5/main'
i-00ff625dd40e36264,1573768024-0,m5d.large,60.214725971221924,10,10,1,TPC-B (sort of),simple,60 s,144294,data_directory = '/var/lib/postgresql/9.5/main'
i-048437a988cd24bc2,1573768024-0,m5d.large,60.38852071762085,10,10,1,TPC-B (sort of),simple,60 s,146893,data_directory = '/var/lib/postgresql/9.5/main'
i-048437a988cd24bc2,1573768024-0,m5d.large,60.22493600845337,10,10,1,TPC-B (sort of),simple,60 s,146871,data_directory = '/var/lib/postgresql/9.5/main'
i-048437a988cd24bc2,1573768024-0,m5d.large,60.22657918930054,10,10,1,TPC-B (sort of),simple,60 s,146545,data_directory = '/var/lib/postgresql/9.5/main'
i-048437a988cd24bc2,1573768024-0,m5d.large,60.20758676528931,10,10,1,TPC-B (sort of),simple,60 s,146705,data_directory = '/var/lib/postgresql/9.5/main'
i-048437a988cd24bc2,1573768024-0,m5d.large,60.25110197067261,10,10,1,TPC-B (sort of),simple,60 s,146678,data_directory = '/var/lib/postgresql/9.5/main'
i-048437a988cd24bc2,1573768024-0,m5d.large,60.25283885002136,10,10,1,TPC-B (sort of),simple,60 s,146954,data_directory = '/var/lib/postgresql/9.5/main'
i-048437a988cd24bc2,1573768024-0,m5d.large,60.21215105056763,10,10,1,TPC-B (sort of),simple,60 s,146314,data_directory = '/var/lib/postgresql/9.5/main'
i-048437a988cd24bc2,1573768024-0,m5d.large,60.218448638916016,10,10,1,TPC-B (sort of),simple,60 s,146212,data_directory = '/var/lib/postgresql/9.5/main'
i-048437a988cd24bc2,1573768024-0,m5d.large,60.23475408554077,10,10,1,TPC-B (sort of),simple,60 s,146668,data_directory = '/var/lib/postgresql/9.5/main'
i-048437a988cd24bc2,1573768024-0,m5d.large,60.27332019805908,10,10,1,TPC-B (sort of),simple,60 s,146663,data_directory = '/var/lib/postgresql/9.5/main'
i-0eb7976be5aeffcb4,1573768024-0,m5d.large,60.32317900657654,10,10,1,TPC-B (sort of),simple,60 s,38018,data_directory = '/var/lib/postgresql/9.5/main'
i-0eb7976be5aeffcb4,1573768024-0,m5d.large,60.24704384803772,10,10,1,TPC-B (sort of),simple,60 s,38142,data_directory = '/var/lib/postgresql/9.5/main'
i-0eb7976be5aeffcb4,1573768024-0,m5d.large,60.219300508499146,10,10,1,TPC-B (sort of),simple,60 s,36938,data_directory = '/var/lib/postgresql/9.5/main'
i-0eb7976be5aeffcb4,1573768024-0,m5d.large,60.28496980667114,10,10,1,TPC-B (sort of),simple,60 s,36771,data_directory = '/var/lib/postgresql/9.5/main'
