experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1573767432-0,i-081386f91917e838e,m5d.large,9.068483114242554, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.33ms,9.0385s,2
1573767432-0,i-081386f91917e838e,m5d.large,9.045333623886108, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.64ms,9.0256s,2
1573767432-0,i-081386f91917e838e,m5d.large,9.041477680206299, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.64ms,9.0183s,2
1573767432-0,i-081386f91917e838e,m5d.large,9.045500040054321, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.58ms,9.0261s,2
1573767432-0,i-081386f91917e838e,m5d.large,9.063740730285645, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.22ms,9.0424s,2
1573767432-0,i-081386f91917e838e,m5d.large,9.060291528701782, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.42ms,9.0393s,2
1573767432-0,i-081386f91917e838e,m5d.large,9.047543287277222, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.80ms,9.0269s,2
1573767432-0,i-081386f91917e838e,m5d.large,9.065523624420166, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.35ms,9.0462s,2
1573767432-0,i-081386f91917e838e,m5d.large,9.047730684280396, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.46ms,9.0279s,2
1573767432-0,i-081386f91917e838e,m5d.large,9.047389507293701, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.07ms,9.0257s,2
1573767432-0,i-00ff625dd40e36264,m5d.large,9.069522857666016, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.07ms,9.0306s,2
1573767432-0,i-00ff625dd40e36264,m5d.large,9.04606032371521, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.37ms,9.0248s,2
1573767432-0,i-00ff625dd40e36264,m5d.large,9.04580044746399, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.43ms,9.0247s,2
1573767432-0,i-00ff625dd40e36264,m5d.large,9.050150871276855, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.20ms,9.0298s,2
1573767432-0,i-00ff625dd40e36264,m5d.large,9.07905626296997, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.41ms,9.0545s,2
1573767432-0,i-00ff625dd40e36264,m5d.large,9.043631553649902, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.34ms,9.0218s,2
1573767432-0,i-00ff625dd40e36264,m5d.large,9.045108079910278, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.11ms,9.0237s,2
1573767432-0,i-00ff625dd40e36264,m5d.large,9.04288649559021, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.11ms,9.0220s,2
1573767432-0,i-00ff625dd40e36264,m5d.large,9.037787675857544, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.19ms,9.0168s,2
1573767432-0,i-00ff625dd40e36264,m5d.large,9.050795316696167, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.68ms,9.0258s,2
