experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.821467399597168, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.67ms,7.7589s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.788209676742554, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1552.30ms,7.7634s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.78503680229187, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.73ms,7.7593s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.794247627258301, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1552.67ms,7.7677s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.798488616943359, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1552.83ms,7.7700s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.7891058921813965, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.38ms,7.7608s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.785897731781006, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.59ms,7.7583s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.79415488243103, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1553.10ms,7.7678s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.786536455154419, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.53ms,7.7588s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.786275625228882, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.64ms,7.7595s,2
1573942490-0,i-0127ff963ce39608f,m5d.large,9.235985517501831, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.43ms,9.0212s,2
1573942490-0,i-0127ff963ce39608f,m5d.large,9.041881322860718, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.30ms,9.0235s,2
