instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-04b9c2f75a375d7e5,1573942864-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sat Nov 16 22:23:02 2019,7.19 GiB,Push,195.62 %,97.81 %,4.110,4.271,5.267559766769409
i-04b9c2f75a375d7e5,1573942864-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sat Nov 16 22:23:07 2019,7.17 GiB,Push,196.76 %,98.38 %,4.117,4.381,4.823588848114014
i-04b9c2f75a375d7e5,1573942864-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sat Nov 16 22:23:12 2019,7.19 GiB,Push,195.65 %,97.83 %,4.135,4.357,4.802282333374023
i-04b9c2f75a375d7e5,1573942864-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sat Nov 16 22:23:17 2019,7.19 GiB,Push,196.48 %,98.24 %,4.117,4.364,4.807284116744995
i-04b9c2f75a375d7e5,1573942864-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sat Nov 16 22:23:22 2019,7.19 GiB,Push,196.52 %,98.26 %,4.107,4.302,4.750741958618164
i-04b9c2f75a375d7e5,1573942864-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sat Nov 16 22:23:27 2019,7.19 GiB,Push,196.47 %,98.23 %,4.133,4.327,4.772774696350098
i-04b9c2f75a375d7e5,1573942864-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sat Nov 16 22:23:32 2019,7.19 GiB,Push,195.99 %,98.00 %,4.117,4.312,4.757301568984985
i-04b9c2f75a375d7e5,1573942864-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sat Nov 16 22:23:37 2019,7.19 GiB,Push,196.38 %,98.19 %,4.135,4.334,4.7784857749938965
i-04b9c2f75a375d7e5,1573942864-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sat Nov 16 22:23:42 2019,7.19 GiB,Push,196.24 %,98.12 %,4.138,4.335,4.780010223388672
i-04b9c2f75a375d7e5,1573942864-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Sat Nov 16 22:23:47 2019,7.19 GiB,Push,196.82 %,98.41 %,4.136,4.332,4.776088714599609
