experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1573766542-0,i-081386f91917e838e,m5d.large,9.07542085647583, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.46ms,9.0466s,2
1573766542-0,i-081386f91917e838e,m5d.large,9.05234408378601, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.49ms,9.0329s,2
1573766542-0,i-081386f91917e838e,m5d.large,9.046766757965088, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.51ms,9.0283s,2
1573766542-0,i-081386f91917e838e,m5d.large,9.05012845993042, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.16ms,9.0297s,2
1573766542-0,i-081386f91917e838e,m5d.large,9.049415588378906, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.15ms,9.0320s,2
1573766542-0,i-081386f91917e838e,m5d.large,9.060900926589966, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.91ms,9.0415s,2
1573766542-0,i-081386f91917e838e,m5d.large,9.046768426895142, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.69ms,9.0270s,2
1573766542-0,i-081386f91917e838e,m5d.large,9.069283723831177, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.26ms,9.0503s,2
1573766542-0,i-081386f91917e838e,m5d.large,9.045042753219604, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.40ms,9.0258s,2
1573766542-0,i-081386f91917e838e,m5d.large,9.047746181488037, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.40ms,9.0279s,2
1573766542-0,i-00ff625dd40e36264,m5d.large,9.1610746383667, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.68ms,9.0287s,2
1573766542-0,i-00ff625dd40e36264,m5d.large,9.040356159210205, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.05ms,9.0207s,2
