instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-081386f91917e838e,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:01 2019,7.18 GiB,Push,197.26 %,98.63 %,5.232,5.570,6.049912929534912
i-081386f91917e838e,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:07 2019,7.18 GiB,Push,195.88 %,97.94 %,5.223,5.425,5.860002040863037
i-081386f91917e838e,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:13 2019,7.18 GiB,Push,196.51 %,98.26 %,5.211,5.652,6.093700647354126
i-081386f91917e838e,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:20 2019,7.18 GiB,Push,196.41 %,98.20 %,5.219,5.701,6.1398186683654785
i-081386f91917e838e,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:26 2019,7.18 GiB,Push,197.14 %,98.57 %,5.184,5.938,6.375404357910156
i-081386f91917e838e,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:33 2019,7.18 GiB,Push,195.91 %,97.95 %,5.181,5.382,5.826862812042236
i-081386f91917e838e,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:39 2019,7.18 GiB,Push,196.84 %,98.42 %,5.187,5.511,6.079175710678101
i-081386f91917e838e,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:45 2019,7.18 GiB,Push,196.34 %,98.17 %,5.200,5.400,5.836063385009766
i-081386f91917e838e,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:51 2019,7.18 GiB,Push,196.63 %,98.31 %,5.182,5.386,5.824715852737427
i-081386f91917e838e,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:57 2019,7.18 GiB,Push,196.89 %,98.44 %,5.216,5.708,6.1480700969696045
i-00ff625dd40e36264,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:01 2019,7.18 GiB,Push,197.03 %,98.51 %,5.182,5.385,5.922680854797363
i-00ff625dd40e36264,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:07 2019,7.18 GiB,Push,195.74 %,97.87 %,5.170,5.381,5.828553199768066
i-00ff625dd40e36264,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:13 2019,7.18 GiB,Push,196.24 %,98.12 %,5.198,5.401,5.838993072509766
i-00ff625dd40e36264,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:20 2019,7.18 GiB,Push,196.43 %,98.21 %,5.147,5.350,5.796234369277954
i-00ff625dd40e36264,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:26 2019,7.18 GiB,Push,196.29 %,98.15 %,5.166,5.370,5.94623327255249
i-00ff625dd40e36264,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:32 2019,7.18 GiB,Push,196.78 %,98.39 %,5.183,5.383,5.825501203536987
i-00ff625dd40e36264,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:38 2019,7.18 GiB,Push,196.70 %,98.35 %,5.165,5.366,5.803937196731567
i-00ff625dd40e36264,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:44 2019,7.18 GiB,Push,196.47 %,98.23 %,5.181,5.386,5.824738264083862
i-00ff625dd40e36264,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:50 2019,7.18 GiB,Push,196.92 %,98.46 %,5.185,5.388,5.833104848861694
i-00ff625dd40e36264,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:56 2019,7.18 GiB,Push,196.31 %,98.15 %,5.201,5.401,5.844241142272949
i-048437a988cd24bc2,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:02 2019,7.18 GiB,Push,196.94 %,98.47 %,5.098,5.315,5.848718881607056
i-048437a988cd24bc2,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:08 2019,7.18 GiB,Push,196.30 %,98.15 %,5.140,5.355,5.790315389633179
i-048437a988cd24bc2,1573767738-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Thu Nov 14 21:44:14 2019,7.18 GiB,Push,197.14 %,98.57 %,5.154,5.364,5.798791885375977
