setId,tenants,wallTime,std,normalized
15,1,9.397231340333335,0.004364170576629274,100.0%
14,2,9.4040655295,0.01039008977700668,99.93%
13,3,9.402208725555557,0.005158030423327876,99.95%
12,4,9.4067408045,0.009787170798439732,99.9%
11,5,9.405116558,0.008900282282431823,99.92%
10,6,9.407338433833333,0.007602447474274156,99.89%
9,7,9.40381565547619,0.004066863345414337,99.93%
8,8,9.407828539625,0.010031313294704025,99.89%
7,9,9.408485739296296,0.006572294624739747,99.88%
6,10,9.412354437500001,0.011661299976625987,99.84%
5,11,9.410713029636364,0.008518480619082839,99.86%
4,12,9.409232742250001,0.00909958723890642,99.87%
3,13,9.410804406230769,0.007340891156211491,99.86%
2,14,9.409648815785712,0.009785399535627095,99.87%
1,15,9.41122159428889,0.0075457104940779215,99.85%
0,16,9.4297365993125,0.0335517928441627,99.65%
