setId,tenants,wallTime,std,normalized
14,1,11.71168482,0.21714612854135792,100.0%
13,2,12.2917795175,0.023222891760600804,95.05%
12,3,14.633986075000001,0.6879865268231216,75.05%
11,4,19.392704248749997,0.034512782731638394,34.42%
10,5,23.960923457,0.15310376231626527,-4.59%
9,6,27.826255340833338,0.45175847787283957,-37.59%
8,7,28.596413800714288,1.2369706420508706,-44.17%
7,8,29.556203349375,4.756221387274066,-52.37%
6,9,27.350422368333337,7.02086806990447,-33.53%
5,10,27.891545677999993,8.057787338295226,-38.15%
4,11,27.656931746818188,7.763394467429923,-36.15%
3,12,29.458518445,5.493318536040463,-51.53%
2,13,30.496581756538458,3.5750306409864963,-60.39%
1,14,32.222580706071426,0.9153738296440791,-75.13%
0,15,33.81340313,3.330960611134427,-88.72%
