setId,tenants,wallTime,std,normalized
15,1,8.478324175000001,0.0020395703143737424,100.0%
14,2,8.476997733500001,0.008795094909971487,100.02%
13,3,8.476283391333334,0.006606236563308946,100.02%
12,4,8.48281428225,0.009176079373050821,99.95%
11,5,8.477337574900002,0.004746687619396437,100.01%
10,6,8.478095809583333,0.0035811212333296573,100.0%
9,7,8.476088932500002,0.004618571599650458,100.03%
8,8,8.476420387500003,0.005164477950402133,100.02%
7,9,8.478221562111113,0.005482172221161598,100.0%
6,10,8.478727471949998,0.006912745130087109,100.0%
5,11,8.478709708590907,0.004782977507808726,100.0%
4,12,8.477270275458332,0.005055038362170531,100.01%
3,13,8.477675712961538,0.004377015566337341,100.01%
2,14,8.478771618357142,0.004727107060721296,99.99%
1,15,8.4798030773,0.004640102702907803,99.98%
0,16,8.47829021509375,0.0052104562561941055,100.0%
