setId,tenants,wallTime,std,normalized
15,1,8.108658870000001,0.04162652359025161,100.0%
14,2,8.068157752500001,0.09932682789056382,100.5%
13,3,8.020000775555555,0.1239076408584545,101.09%
12,4,8.04760565375,0.10513139923075814,100.75%
11,5,8.090852133466665,0.09276418549915305,100.22%
10,6,8.138241092444444,0.0898263961668267,99.64%
9,7,8.174527985714285,0.09375321283007042,99.19%
8,8,8.137371728875001,0.13759282316874097,99.65%
7,9,8.118608448222224,0.1346566159159578,99.88%
6,10,8.128029680233334,0.15255936075988322,99.76%
5,11,8.121664618030302,0.12958132420353033,99.84%
4,12,8.146887328777776,0.13976117432538548,99.53%
3,13,8.157599290076922,0.12871567642731868,99.4%
2,14,8.189870408619047,0.10653879716527251,99.0%
1,15,8.2217554622,0.11594821975517082,98.61%
0,16,8.439627925499996,0.3486955161728101,95.92%
