instanceID,wallTime,clients,threads,scaleFactor,transactions
i-00ae78d83e9b0a706,60.31704363822937,10.0,10.0,1.0,142499.4
i-00ff625dd40e36264,60.2701162815094,10.0,10.0,1.0,144412.5
i-015aae8f081e83dd1,60.25732893943787,10.0,10.0,1.0,167268.4
i-0184f3296c5ced0a3,60.24841103553772,10.0,10.0,1.0,144516.6
i-02318c82e163422e3,60.206323051452635,10.0,10.0,1.0,33337.9
i-02333dfb92b0fd7c2,60.18476130962372,10.0,10.0,1.0,163668.3
i-02839bf5d52dc440a,60.29286761283875,10.0,10.0,1.0,143645.6
i-02baf91f487c27cd0,60.17135956287384,10.0,10.0,1.0,143317.5
i-02bc03c5959e7d210,60.23169808387756,10.0,10.0,1.0,144509.6
i-02bed2fd844f2949d,60.287734031677246,10.0,10.0,1.0,143907.0
i-0340d4eab2fdb2c12,60.27243287563324,10.0,10.0,1.0,37251.0
i-0362f245e855b6c1e,60.2720148563385,10.0,10.0,1.0,144556.7
i-037621e70119f9ab7,60.163577270507815,10.0,10.0,1.0,33339.9
i-048437a988cd24bc2,60.249023747444156,10.0,10.0,1.0,146650.3
i-0561955e4d5e32bb3,60.19384877681732,10.0,10.0,1.0,144587.1
i-0566cd5b507446d49,60.2661589384079,10.0,10.0,1.0,165752.4
i-060d2899cded5cca0,60.18154385089874,10.0,10.0,1.0,147576.5
i-077061659bae3de4f,60.31672158241272,10.0,10.0,1.0,143290.4
i-078ea60809fc28e50,60.24512722492218,10.0,10.0,1.0,145155.1
i-07977eaaa9497dbec,60.219967460632326,10.0,10.0,1.0,147439.4
i-081386f91917e838e,60.18092639446259,10.0,10.0,1.0,145472.6
i-08cce5c62f76eb079,60.21284613609314,10.0,10.0,1.0,161104.6
i-090f400814f25580f,60.1909512758255,10.0,10.0,1.0,144581.6
i-0afb08fdf0ee3e315,60.22582292556763,10.0,10.0,1.0,165037.8
i-0b0ce2b1e2797b20e,60.208869099617004,10.0,10.0,1.0,166413.3
i-0b9d71dac855d7716,60.17966830730438,10.0,10.0,1.0,154378.9
i-0c74f3a05a4a9b764,60.21198816299439,10.0,10.0,1.0,148796.5
i-0e35056fc9158b141,60.17923948764801,10.0,10.0,1.0,144631.1
i-0eb7976be5aeffcb4,60.27267909049988,10.0,10.0,1.0,37444.0
i-0f860464a9dcaea19,60.181096005439755,10.0,10.0,1.0,164855.1
