instanceID,computationTime,benchmarkTime,wallTime
i-00ae78d83e9b0a706,5.165100000000001,5.399699999999999,5.898638224601745
i-00ff625dd40e36264,5.1778,5.381100000000001,5.84642174243927
i-015aae8f081e83dd1,4.1245,4.3652,4.89360511302948
i-0184f3296c5ced0a3,5.2087,5.419599999999999,5.896361947059631
i-02318c82e163422e3,5.1685,5.4026,5.847971630096436
i-02333dfb92b0fd7c2,4.128500000000001,4.3544,4.82772912979126
i-02839bf5d52dc440a,5.2026,5.4308,5.881376194953918
i-02baf91f487c27cd0,5.289700000000001,5.591800000000001,6.057532811164856
i-02bc03c5959e7d210,5.1845,5.3949,5.872565650939942
i-02bed2fd844f2949d,5.193,5.4159,5.889361619949341
i-0340d4eab2fdb2c12,5.2251,5.4921000000000015,6.048681092262268
i-0362f245e855b6c1e,5.210000000000001,5.449599999999999,5.903875517845154
i-037621e70119f9ab7,5.1896,5.3934,5.8441086769104
i-048437a988cd24bc2,5.144900000000001,5.360799999999999,5.807228350639344
i-0561955e4d5e32bb3,5.1858,5.409699999999999,5.8922696828842165
i-0566cd5b507446d49,4.3157000000000005,4.5277,5.061138725280761
i-060d2899cded5cca0,5.121499999999999,5.344399999999999,5.800502777099609
i-077061659bae3de4f,5.2766,5.5137,5.997593331336975
i-078ea60809fc28e50,5.1624,5.380000000000001,5.855298566818237
i-07977eaaa9497dbec,5.112500000000001,5.343000000000001,5.799046373367309
i-081386f91917e838e,5.2035,5.5673,6.023372650146484
i-08cce5c62f76eb079,4.689599999999999,4.951700000000001,5.434424376487732
i-090f400814f25580f,5.2509,5.4613,5.911865925788879
i-0afb08fdf0ee3e315,4.1451,4.372,4.918408131599426
i-0b0ce2b1e2797b20e,4.3148,4.528899999999999,5.032288146018982
i-0b9d71dac855d7716,4.3482,4.5421,4.98834502696991
i-0c74f3a05a4a9b764,5.1072,5.3576999999999995,5.856854701042176
i-0e35056fc9158b141,5.2004,5.4223,5.863102316856384
i-0eb7976be5aeffcb4,5.1293999999999995,5.3586,5.812995553016663
i-0f860464a9dcaea19,4.318699999999999,4.5116,4.993564105033874
