setId,tenants,transactions,std,normalized
47,1,179145.33333333334,520.4971981993082,100.0%
46,2,180675.0,2173.3067892039558,100.85%
45,3,172304.22222222222,1776.8806078193452,96.18%
44,4,174785.58333333334,4665.384295938324,97.57%
43,5,176469.6,4714.501318879244,98.51%
42,6,175958.72222222222,4513.0897438393295,98.22%
41,7,173131.90476190476,1492.9994274868945,96.64%
40,8,172668.875,1735.2537544668503,96.38%
39,9,169857.33333333334,3273.0117158830417,94.82%
38,10,169498.73333333334,3416.112773044952,94.62%
37,11,167989.30303030304,2239.459637457892,93.77%
36,12,167160.58333333334,2174.0874785264973,93.31%
35,13,166557.64102564103,2675.7903946623605,92.97%
34,14,166540.88095238095,2462.083583237549,92.96%
33,15,166395.33333333334,2138.4930654339514,92.88%
32,16,165429.1875,2411.1738083988303,92.34%
31,17,164538.72549019608,2767.655109137921,91.85%
30,18,164026.85185185185,2543.090249160234,91.56%
29,19,163402.66666666666,2166.348419850895,91.21%
28,20,162439.03333333333,2669.7970910435574,90.67%
27,21,161519.25396825396,3157.8836572179766,90.16%
26,22,158047.48484848486,5184.140721743955,88.22%
25,23,156919.60869565216,5727.636195565055,87.59%
24,24,156931.59722222222,5512.334189412568,87.6%
23,25,155796.28,6188.158632289425,86.97%
22,26,154971.5641025641,5281.148863080776,86.51%
21,27,154435.13580246913,4600.831087295773,86.21%
20,28,153550.57142857142,5211.516090226719,85.71%
19,29,151442.93103448275,2949.6716482343836,84.54%
18,30,150830.24444444446,2563.78032990835,84.19%
17,31,150026.4193548387,2245.8621580808535,83.75%
16,32,149166.19791666666,2124.753076030455,83.27%
15,33,143381.05050505052,5780.3644090580365,80.04%
14,34,137823.9705882353,1841.819034422768,76.93%
13,35,137007.24761904762,2065.082494072818,76.48%
12,36,136192.72222222222,2443.5880996237956,76.02%
11,37,135242.79279279278,3149.519819438903,75.49%
10,38,132868.55263157896,5030.452176392828,74.17%
9,39,132230.547008547,4404.172738272993,73.81%
8,40,131742.29166666666,3714.9763006263815,73.54%
7,41,131013.0406504065,3266.278757938987,73.13%
6,42,128862.12698412698,1759.8620854334092,71.93%
5,43,128039.88372093023,2116.813918619455,71.47%
4,44,127365.51515151515,1879.8334727482836,71.1%
3,45,126609.77037037037,1650.8600424362337,70.67%
2,46,124828.71739130435,1934.5548724670084,69.68%
1,47,123718.4964539007,1676.045011431517,69.06%
0,48,123217.83333333333,1669.3669542590153,68.78%
