setId,tenants,wallTime,std,normalized
47,1,7.175479245299999,0.005627823425225578,100.0%
46,2,7.178840541799998,0.009786158513685961,99.95%
45,3,7.571125523233331,0.009637162957221166,94.49%
44,4,7.569599956274997,0.0051971952975495535,94.51%
43,5,7.783424801819999,0.009608765148272297,91.53%
42,6,7.812385320699996,0.11688923314767675,91.12%
41,7,7.782489599414285,0.009345880343911185,91.54%
40,8,7.783318403424998,0.010490328427681045,91.53%
39,9,7.715236793566667,0.19000314787543163,92.48%
38,10,7.662308182690008,0.24271650949058202,93.22%
37,11,7.724949238527271,0.09443632413251957,92.34%
36,12,7.712829428891667,0.09976419678927745,92.51%
35,13,7.783428311346152,0.00846963086698543,91.53%
34,14,7.783058350371424,0.008586715883696869,91.53%
33,15,7.7831823587466635,0.00824817655906616,91.53%
32,16,7.784662354012501,0.011956973604175011,91.51%
31,17,7.784268614817643,0.011719137711411792,91.52%
30,18,7.783630379038881,0.00842626183554489,91.52%
29,19,7.784655439236844,0.012516395240878279,91.51%
28,20,7.787939381614995,0.04196704763488033,91.46%
27,21,7.7841837428809555,0.008154591269298066,91.52%
26,22,7.783463958186364,0.008303991616284116,91.53%
25,23,7.784464500291304,0.008957898057151453,91.51%
24,24,7.7852375587125,0.009067803372685163,91.5%
23,25,7.903004707352001,0.11300543211847427,89.86%
22,26,7.919086729599999,0.15823852634921592,89.64%
21,27,7.9104871290925916,0.11194339902935842,89.76%
20,28,7.9220991534642895,0.1220846206460053,89.59%
19,29,8.367110808137928,0.488309201851193,83.39%
18,30,8.380056681620001,0.4866883258926196,83.21%
17,31,8.395494741006445,0.483323525503529,83.0%
16,32,8.406041397887495,0.48152788895245696,82.85%
15,33,8.475899106793939,0.37594689728954644,81.88%
14,34,8.462744666552927,0.37766283750628227,82.06%
13,35,8.450664323405709,0.3801719925850815,82.23%
12,36,8.443059038461119,0.37524436431476316,82.33%
11,37,8.779991025516217,0.012998050991394582,77.64%
10,38,8.77805937842106,0.008092876261203545,77.67%
9,39,8.779059304969236,0.008707035404199408,77.65%
8,40,8.779823036197502,0.010594876955751288,77.64%
7,41,8.915110313599994,0.13313302138438354,75.76%
6,42,8.917663207511913,0.1328349632060712,75.72%
5,43,8.920797386839538,0.13263860001173855,75.68%
4,44,8.928575412802283,0.13107292186208375,75.57%
3,45,9.051805371179995,0.016403304986652115,73.85%
2,46,9.049400792926093,0.01360428605907836,73.88%
1,47,9.051314458451053,0.017611321478371942,73.86%
0,48,9.06524871238958,0.11935636221195267,73.66%
