setId,tenants,wallTime,std,normalized
47,1,4.441481034,0.039922526608120165,100.0%
46,2,4.497906697999999,0.012791032577485482,98.73%
45,3,4.475998216222223,0.0944478531818028,99.22%
44,4,4.643858883166668,0.16365686745781244,95.44%
43,5,4.621564536600001,0.14677003727800855,95.95%
42,6,4.653088406296296,0.14608086783247196,95.24%
41,7,4.746375772698413,0.08199044878585043,93.14%
40,8,4.7507941424722215,0.04142808388356391,93.04%
39,9,4.823457299864195,0.08011805356378503,91.4%
38,10,4.856266734344443,0.11717445468532398,90.66%
37,11,4.898652158606061,0.05919563129865682,89.71%
36,12,5.0230035891944445,0.15046250002523506,86.91%
35,13,4.914449320905983,0.035819422157620254,89.35%
34,14,4.941240223595238,0.05074125062390347,88.75%
33,15,4.965409411325927,0.08574974893090272,88.2%
32,16,5.029150388263891,0.09066296169949416,86.77%
31,17,5.034163312967319,0.07280677867743657,86.66%
30,18,5.106742933919754,0.06938761596903986,85.02%
29,19,5.11347463814035,0.04998490813733351,84.87%
28,20,5.140298211600001,0.07775061765994745,84.27%
27,21,5.15460453716402,0.08407567607026183,83.94%
26,22,5.367919275287879,0.2510601014080161,79.14%
25,23,5.345163148352659,0.2023916952599673,79.65%
24,24,5.391486311393521,0.2572830792347275,78.61%
23,25,5.393356109200002,0.24018540805644356,78.57%
22,26,5.392315919611113,0.22261481421292137,78.59%
21,27,5.401176990300409,0.21627169286950657,78.39%
20,28,5.542224637091269,0.06544839160555974,75.22%
19,29,5.564950857145594,0.062579960638247,74.71%
18,30,5.576371580570368,0.055625278497792335,74.45%
17,31,5.59440888982079,0.07742969276375591,74.04%
16,32,5.822600303440972,0.2476619611250828,68.9%
15,33,5.8270058326599345,0.2217182712984929,68.8%
14,34,5.844858207702611,0.23679501868588967,68.4%
13,35,6.059822704663493,0.07113835328190297,63.56%
12,36,6.084406890984569,0.07520670668593109,63.01%
11,37,6.0974765482282285,0.06571820591859558,62.72%
10,38,6.121600054874267,0.09313884008389896,62.17%
9,39,6.127319172213673,0.06839582591515887,62.04%
8,40,6.15532090398056,0.06609859342685448,61.41%
7,41,6.228077922745257,0.12202686401785938,59.77%
6,42,6.261179333005291,0.14385508945231515,59.03%
5,43,6.353616693537464,0.06639179166954934,56.95%
4,44,6.391040600901506,0.09784329691732033,56.11%
3,45,6.410501692624694,0.08295165141345803,55.67%
2,46,6.449916940956515,0.1066803006934518,54.78%
1,47,6.495625193229319,0.0951724963366895,53.75%
0,48,6.519538928537036,0.0784220136033759,53.21%
