setId,tenants,wallTime,std,normalized
23,1,6.7907461326666665,0.01022753772942289,100.0%
22,2,6.796462257499999,0.014544210400783072,99.92%
21,3,6.790119515555556,0.01305550785197021,100.01%
20,4,6.79601214325,0.013345862320801836,99.92%
19,5,6.7897828578,0.010759346577108333,100.01%
18,6,6.793111509666667,0.013741958893621183,99.97%
17,7,6.792139393952381,0.015811957588550248,99.98%
16,8,6.78974518175,0.0080829843938662,100.01%
15,9,6.787768770185186,0.008149826603715795,100.04%
14,10,6.793908127099999,0.016467459852862257,99.95%
13,11,6.790914383696972,0.01347056168615925,100.0%
12,12,6.842246188027776,0.286782196788549,99.24%
11,13,6.787936534589742,0.005882899587143285,100.04%
10,14,6.792551789928571,0.01181085270934558,99.97%
9,15,6.789278586688887,0.008899773843882776,100.02%
8,16,6.7934983770000015,0.02400361883445289,99.96%
7,17,6.789721442176472,0.009220566979936754,100.02%
6,18,6.96917968759259,0.610831449284245,97.37%
5,19,7.1848022101228075,0.8561242451537002,94.2%
4,20,6.801627131249999,0.01289439302143029,99.84%
3,21,6.800425098015874,0.014817877956923613,99.86%
2,22,6.806409785272726,0.018082769533393227,99.77%
1,23,6.8109414750289865,0.016155168516983457,99.7%
0,24,6.811353739777779,0.02942857286441919,99.7%
