setId,tenants,wallTime,std,normalized
23,1,6.784569382500001,0.0012757005363267639,100.0%
22,2,6.78455615025,0.002385750147353373,100.0%
21,3,6.783161521,0.0022150808557981523,100.02%
20,4,6.785150915250001,0.003516870782292611,99.99%
19,5,6.784964728299999,0.0029890106804023983,99.99%
18,6,6.786335428416667,0.006000432552540888,99.97%
17,7,6.784397244500001,0.0030793881134297527,100.0%
16,8,6.7851128579375,0.004987051545438272,99.99%
15,9,6.784130652666667,0.0029860160436850193,100.01%
14,10,6.78598732945,0.004887334403449927,99.98%
13,11,6.785432121954545,0.0034965986276447973,99.99%
12,12,6.785027295375001,0.004969655360258812,99.99%
11,13,6.784676322653847,0.004824637822077058,100.0%
10,14,6.785086095321428,0.005653653932383604,99.99%
9,15,6.783777570733333,0.003284878610751138,100.01%
8,16,6.78562087571875,0.005828611113882758,99.98%
7,17,6.785251463147058,0.004055674678651632,99.99%
6,18,6.78441622522222,0.004689972727385427,100.0%
5,19,6.784002994236842,0.003590895831690452,100.01%
4,20,6.785166907249997,0.004736612573415985,99.99%
3,21,6.7850329649047625,0.005095775904205694,99.99%
2,22,6.786534011363634,0.006810370070331072,99.97%
1,23,6.784789417130434,0.004548016401857247,100.0%
0,24,6.784731969270834,0.0050737446291048115,100.0%
