instanceID,experimentID,setId,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime,,,
i-0b1a24509615d442c,1566527145-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Fri Aug 23 02:35:02 2019,7.18 GiB,Push,196.46%,98.23%,5.818,5.998,7.384771585,,,
i-0b1a24509615d442c,1566527145-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Fri Aug 23 02:35:09 2019,7.16 GiB,Push,196.34%,98.17%,5.822,6.056,6.502289534,,,
i-0b1a24509615d442c,1566527145-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Fri Aug 23 02:35:15 2019,7.18 GiB,Push,196.39%,98.20%,5.825,6.043,6.500772238,,,
i-0b1a24509615d442c,1566527145-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Fri Aug 23 02:35:22 2019,7.18 GiB,Push,196.14%,98.07%,5.822,6.055,6.507984161,,,
i-0b1a24509615d442c,1566527145-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Fri Aug 23 02:35:29 2019,7.18 GiB,Push,196.63%,98.31%,5.849,6.08,6.531672239,,,
i-0b1a24509615d442c,1566527145-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Fri Aug 23 02:35:36 2019,7.18 GiB,Push,196.58%,98.29%,5.83,6.062,6.518609524,,,
i-0b1a24509615d442c,1566527145-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Fri Aug 23 02:35:43 2019,7.18 GiB,Push,195.52%,97.76%,5.831,6.064,6.528594494,,,
i-0b1a24509615d442c,1566527145-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Fri Aug 23 02:35:49 2019,7.18 GiB,Push,196.90%,98.45%,5.77,6.012,6.466106653,,,
i-0516ffd6bb6503c5c,1566527145-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Fri Aug 23 02:35:01 2019,7.18 GiB,Push,197.53%,98.76%,5.837,6.011,6.511473656,,,
i-0516ffd6bb6503c5c,1566527145-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Fri Aug 23 02:35:08 2019,7.17 GiB,Push,197.61%,98.81%,5.82,6.045,6.48968339,,,
