instanceID,experimentID,setId,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime,Standard Deviation,Average
i-0045ae733b255e979,1565740139-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:02 2019,7.09 GiB,Push,196.03%,98.02%,5.846,6.035,7.069731951, ,
i-0045ae733b255e979,1565740139-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:09 2019,7.08 GiB,Push,196.03%,98.02%,5.821,6.043,6.466773272,,
i-0045ae733b255e979,1565740139-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:15 2019,7.09 GiB,Push,194.13%,97.06%,5.842,6.055,6.481621742,,
i-0045ae733b255e979,1565740139-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:22 2019,7.09 GiB,Push,196.29%,98.14%,5.808,6.018,6.448609352,,
i-0045ae733b255e979,1565740139-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:29 2019,7.09 GiB,Push,195.17%,97.59%,5.81,6.032,6.486994028,,
i-0045ae733b255e979,1565740139-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:36 2019,7.09 GiB,Push,195.63%,97.82%,5.786,5.994,6.435986519,,
i-0045ae733b255e979,1565740139-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:43 2019,7.09 GiB,Push,196.14%,98.07%,5.812,6.03,6.460149288,,
i-0045ae733b255e979,1565740139-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:49 2019,7.09 GiB,Push,195.48%,97.74%,5.76,5.964,6.405109644,,
i-0073f0bd4c20026a1,1565740139-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:01 2019,7.09 GiB,Push,196.47%,98.24%,5.858,6.032,6.494014025,,
i-0073f0bd4c20026a1,1565740139-0,0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:08 2019,7.08 GiB,Push,196.07%,98.03%,5.835,6.054,6.475010395,,
